Song Name=鄧紫棋 - Fly Away$

// POSITION X :  -7  to   7
// POSITION Y : 3.2 to -3.2
//            1           2          3           4           5            6         7
// CHAIN: singleNote, upperLeft, upperRight, bottomLeft, bottomRight, leftRight, upDown
//            1    2     3      4
// DIRECTION: up, down, left, right
// 
// FORMAT: time~chain|direction,direction2|positionX,positionY|position2X,position2Y|
*
28.6764~1|4,0|4.68,1.06|0,0|;
29.0665~1|1,0|0,3|0,0|;
29.4289~4|3,2|-5.19,0.2|-0.62,-2.98|;
29.7842~1|4,0|3.58,-0.15|0,0|;
29.9515~1|4,0|4.73,0.58|0,0|;
30.1325~1|4,0|5.8,1.47|0,0|;
30.8643~1|1,0|0,3|0,0|;
31.0525~1|2,0|-0.06,-2.73|0,0|;
31.2545~1|3,0|-4.07,1.06|0,0|;
31.4426~1|4,0|5.58,0.12|0,0|;
31.6379~1|3,0|-3.63,-1.25|0,0|;
32.0138~3|1,4|0.1,2.99|3.37,-0.08|;
32.3761~2|1,3|-2.28,2.75|-5.06,-0.49|;
32.7176~1|2,0|-2.38,-2.41|0,0|;
32.8923~1|2,0|-1.03,-2.77|0,0|;
33.0874~1|2,0|0.35,-3|0,0|;
33.5046~1|3,0|-5.15,-2.09|0,0|;
33.6790~1|3,0|-5.63,-0.81|0,0|;
33.8532~1|3,0|-5.91,0.55|0,0|;
34.0551~1|3,0|-5.94,1.91|0,0|;
34.2363~6|3,4|-5.94,3.24|4.57,0.01|;
34.5988~1|2,0|-3.36,-2.5|0,0|;
34.7729~1|2,0|-2.06,-2.85|0,0|;
34.9471~1|2,0|-0.7,-3.04|0,0|;
35.1353~1|2,0|0.67,-3.02|0,0|;
35.3232~1|2,0|2.02,-2.74|0,0|;
35.6997~1|4,0|4.45,0.32|0,0|;
35.8808~1|3,0|-4.85,1.85|0,0|;
36.0760~1|1,0|-0.31,3.04|0,0|;
36.2186~1|1,0|1.06,2.85|0,0|;
36.4592~1|2,0|-3.36,-2.49|0,0|;
36.6473~1|2,0|-2.09,-2.98|0,0|;
36.8214~1|2,0|-0.74,-3.29|0,0|;
36.9887~1|2,0|0.64,-3.2|0,0|;
37.1979~1|2,0|1.97,-2.87|0,0|;
37.5390~1|1,0|-3.33,3.46|0,0|;
37.7274~1|1,0|-4.44,2.81|0,0|;
37.9153~1|1,0|-5.35,1.82|0,0|;
38.1177~1|1,0|-6.01,0.69|0,0|;
38.3195~1|1,0|-6.43,-0.53|0,0|;
38.6680~5|2,4|-6.35,-2.02|-0.93,0.03|;
39.0441~1|4,0|4.27,-0.4|0,0|;
39.2185~1|4,0|4.96,0.6|0,0|;
39.6294~1|3,0|-3.08,1.66|0,0|;
39.7838~1|4,0|2.86,1.73|0,0|;
39.9791~1|3,0|-3.03,0.31|0,0|;
40.1670~1|4,0|3.37,0.4|0,0|;
40.3617~1|3,0|-3.75,-1.09|0,0|;
40.5498~1|2,0|0.41,-3.37|0,0|;
40.8843~3|1,4|0.25,2.29|3.87,0.33|;
41.2749~6|3,4|-4.14,-0.89|3.87,0.33|;
41.6516~6|3,4|-4.71,0.16|3.87,0.33|;
42.0139~1|3,0|-5.22,1.21|0,0|;
42.1743~1|3,0|-5,2.47|0,0|;
42.5700~1|2,0|-0.92,-2.93|0,0|;
42.7600~1|1,0|-0.88,2.19|0,0|;
42.9400~1|2,0|0.34,-2.46|0,0|;
43.1300~1|1,0|0.36,1.59|0,0|;
43.3400~1|2,0|1.57,-1.81|0,0|;
43.5000~2|1,3|1.51,1|-4.17,-0.63|;
43.8000~6|3,4|-4.17,-0.63|3.94,-0.54|;
44.2000~1|1,0|-1.06,2.68|0,0|;
44.4000~1|1,0|0.33,2.87|0,0|;
44.6100~1|1,0|1.74,2.91|0,0|;
45.0183~7|1,2|3.1,2.61|1.01,-2.37|;
45.3740~1|3,0|-6.21,-0.12|0,0|;
45.5480~1|1,0|-1.71,3.4|0,0|;
45.7223~1|3,0|-5.81,1.09|0,0|;
45.9175~1|1,0|-3.05,3.04|0,0|;
46.0555~3|1,4|-4.3,2.47|1.96,0.71|;
46.4612~1|2,0|-2.54,-2.72|0,0|;
46.6285~1|2,0|-1.18,-2.89|0,0|;
46.8377~1|2,0|0.18,-3.06|0,0|;
47.0260~1|2,0|1.56,-2.97|0,0|;
47.2211~1|2,0|2.87,-2.67|0,0|;
47.5620~1|1,0|-2.42,2.93|0,0|;
47.7433~1|1,0|-1.11,3.08|0,0|;
47.9382~7|1,2|0.2,3.11|-1.48,-2.96|;
48.2506~3|1,4|1.5,2.99|2.3,0.06|;
48.4500~1|4,0|3.43,-0.68|0,0|;
48.6000~1|4,0|4.59,-1.38|0,0|;
48.8000~1|4,0|5.72,-0.58|0,0|;
49.0114~6|4,3|6.64,0.44|-3.44,0.55|;
49.4156~1|4,0|6.06,2.22|0,0|;
49.5902~1|4,0|4.75,2.5|0,0|;
49.7643~1|4,0|3.42,2.18|0,0|;
49.9667~1|4,0|2.09,1.81|0,0|;
50.1407~6|4,3|0.81,1.33|-4.27,-0.18|;
50.5103~2|1,3|-1.89,2.67|-4.27,-0.18|;
50.9076~1|3,0|-5.79,1.21|0,0|;
51.0815~1|3,0|-6.65,2.2|0,0|;
51.4719~1|2,0|-1.99,-2.94|0,0|;
51.6255~1|2,0|-0.68,-3.14|0,0|;
51.8276~1|2,0|0.68,-3.34|0,0|;
52.0017~1|2,0|1.94,-3.02|0,0|;
52.2037~1|2,0|3.11,-2.29|0,0|;
52.3779~1|2,0|4.28,-1.42|0,0|;
52.7266~7|2,1|5.14,-0.31|1.33,3.21|;
53.1310~2|1,3|1.33,3.21|-4.1,0.39|;
53.4863~6|4,3|3.08,-0.53|-4.1,0.39|;
53.8695~1|4,0|4.01,0.49|0,0|;
54.0368~1|4,0|5.25,1.03|0,0|;
54.4199~1|1,0|2.2,2.95|0,0|;
54.5874~1|2,0|1.31,-1.47|0,0|;
54.7900~1|1,0|0.8,3.27|0,0|;
54.9710~1|2,0|0.03,-0.88|0,0|;
55.1868~1|1,0|-0.58,3.28|0,0|;
55.3681~1|2,0|-1.3,-0.5|0,0|;
55.5340~1|3,0|-3.14,0.84|0,0|;
55.7020~1|3,0|-4.52,0.5|0,0|;
56.0655~2|1,3|-3.37,3|-6.56,0.31|;
56.4772~4|3,2|-6.56,0.31|-4.25,-2.49|;
56.8118~1|4,0|4.31,1.37|0,0|;
56.8905~1|4,0|5.62,1.81|0,0|;
57.1803~1|2,0|-0.62,-2.74|0,0|;
57.3544~1|1,0|-1.19,2.67|0,0|;
57.5984~1|3,0|-4.01,-0.07|0,0|;
57.7726~1|4,0|2.87,0.06|0,0|;
57.9465~1|3,0|-3.07,-1.53|0,0|;
58.0826~1|4,0|3.48,-1.16|0,0|;
58.3092~1|3,0|-2.17,-2.51|0,0|;
58.4908~1|1,0|-3.14,2.56|0,0|;
58.6853~1|1,0|-1.84,2.96|0,0|;
58.8523~1|1,0|-0.49,3.17|0,0|;
59.0335~1|1,0|0.85,3.14|0,0|;
59.4027~1|2,0|-1.63,-2.77|0,0|;
59.5629~1|2,0|-0.27,-3.09|0,0|;
59.7583~1|2,0|1.06,-2.64|0,0|;
60.1343~1|3,0|-5.04,-1.55|0,0|;
60.3156~1|4,0|3.24,-1.35|0,0|;
60.5107~1|3,0|-4.15,-0.57|0,0|;
60.7054~1|4,0|2.6,-0.15|0,0|;
60.9006~6|3,4|-3.06,0.31|1.9,1.04|;
61.2698~1|1,0|-0.43,3.39|0,0|;
61.4440~1|2,0|-0.55,-2.01|0,0|;
61.6531~1|1,0|0.86,3.09|0,0|;
61.8413~1|1,0|2.14,2.62|0,0|;
62.0293~3|1,4|3.31,1.97|5.2,-0.29|;
62.3915~6|4,3|5.2,-0.29|-5.94,1.05|;
62.7539~5|2,4|-0.79,-3.5|5.2,-0.29|;
63.1091~1|1,0|0.01,2.61|0,0|;
63.2904~1|3,0|-4.12,0.06|0,0|;
63.4858~1|4,0|3.29,-0.55|0,0|;
63.6669~1|3,0|-3.43,-1.41|0,0|;
63.8618~1|4,0|3.96,-1.84|0,0|;
64.2244~1|2,0|2.42,-2.03|0,0|;
64.4053~1|2,0|1.16,-2.56|0,0|;
64.5867~1|2,0|-0.21,-2.88|0,0|;
64.7749~1|2,0|-1.59,-2.77|0,0|;
64.9697~1|2,0|-2.9,-2.31|0,0|;
65.1717~1|3,0|-4.05,-1.55|0,0|;
65.3596~1|3,0|-4.95,-0.53|0,0|;
65.6034~1|3,0|-5.42,0.69|0,0|;
65.7497~6|4,3|4.3,3.33|-5.39,2.05|;
66.0981~1|4,0|4.47,1.99|0,0|;
66.2936~1|4,0|4.54,0.61|0,0|;
66.4675~1|4,0|4.56,-0.71|0,0|;
66.6696~1|4,0|4.46,-1.98|0,0|;
66.8297~3|4,1|3.94,-3.22|-4.2,2.61|;
67.1572~1|1,0|-2.96,3.12|0,0|;
67.3600~1|1,0|-1.58,3.33|0,0|;
67.5615~1|1,0|-0.23,3.32|0,0|;
67.7494~1|1,0|1.17,3.2|0,0|;
67.9377~1|3,0|-4.38,2.49|0,0|;
68.1326~1|4,0|2.65,1.32|0,0|;
68.3069~1|3,0|-5.07,1.29|0,0|;
68.4740~1|4,0|3.27,-0.4|0,0|;
68.6760~4|3,2|-4.81,0.06|-2.07,-2.64|;
69.2542~1|1,0|-1.81,2.77|0,0|;
69.3939~1|2,0|-1.18,-2.44|0,0|;
69.6027~1|1,0|-0.44,2.78|0,0|;
69.7977~1|4,0|2.69,0.17|0,0|;
69.9997~1|3,0|-4.36,0.74|0,0|;
70.1877~1|4,0|2,-0.97|0,0|;
70.3829~1|2,0|-0.57,-2.34|0,0|;
70.5432~1|4,0|3.4,1.22|0,0|;
70.9059~1|3,0|-5.67,0.41|0,0|;
71.2824~1|1,0|-1.46,2.73|0,0|;
71.6583~1|2,0|-0.34,-2.4|0,0|;
71.9065~1|2,0|1.01,-2.16|0,0|;
72.0206~1|4,0|3.31,-0.63|0,0|;
72.1880~1|4,0|2.43,0.42|0,0|;
72.3832~1|1,0|-2.77,2.54|0,0|;
72.5989~1|1,0|-1.51,3|0,0|;
72.7593~1|1,0|-0.15,3.27|0,0|;
72.9253~1|1,0|1.19,3.22|0,0|;
73.0400~1|4,0|2.79,2.5|0,0|;
73.2817~1|4,0|3.15,1.19|0,0|;
73.4769~1|4,0|3.55,-0.09|0,0|;
73.6790~1|4,0|3.73,-1.37|0,0|;
73.8530~1|3,0|-3.71,2.86|0,0|;
73.9900~1|3,0|-4.21,1.61|0,0|;
74.1865~1|3,0|-4.46,0.43|0,0|;
74.3900~1|3,0|-4.5,-0.81|0,0|;
74.5514~2|3,1|-4.3,-2.07|-1.03,2.74|;
74.9000~1|1,0|0.17,1.94|0,0|;
75.0394~1|2,0|-0.19,-2.52|0,0|;
75.3401~1|4,0|1.92,0.92|0,0|;
75.4500~1|3,0|-1.8,0.69|0,0|;
75.6195~1|4,0|2.66,-0.37|0,0|;
75.8000~1|3,0|-2.46,-0.55|0,0|;
76.0500~1|2,0|0.01,-2.7|0,0|;
76.1800~1|2,0|1.35,-2.98|0,0|;
76.4000~1|1,0|0.42,2.84|0,0|;
76.5500~1|1,0|-0.88,2.66|0,0|;
76.8000~1|3,0|-3.16,1.44|0,0|;
77.0000~1|3,0|-3.61,0.27|0,0|;
77.1200~1|4,0|1.88,-0.74|0,0|;
77.3170~1|4,0|2.13,0.48|0,0|;
77.5640~4|3,2|-5.92,-0.68|-2.06,-2.96|;
77.9751~1|4,0|4.53,1.45|0,0|;
78.1354~1|4,0|4.9,0.3|0,0|;
78.3378~1|2,0|0.54,-2.82|0,0|;
78.4687~1|2,0|-0.76,-2.88|0,0|;
78.6500~1|1,0|1.18,2.72|0,0|;
78.7800~1|1,0|-0.11,2.96|0,0|;
78.9600~1|1,0|-1.43,2.87|0,0|;
79.2300~1|3,0|-4.5,-1.14|0,0|;
79.3700~1|3,0|-4,-0.04|0,0|;
79.5400~1|4,0|2.23,-0.2|0,0|;
79.7800~1|4,0|2.87,0.98|0,0|;
80.0200~1|3,0|-1.72,-0.09|0,0|;
80.1700~1|3,0|-2.3,1.16|0,0|;
80.2900~1|4,0|3.04,2.23|0,0|;
80.5000~6|3,4|-2.75,2.44|3.06,3.64|;
80.8800~1|3,0|-3.09,3.84|0,0|;
81.2482~1|2,0|-1.81,-2.81|0,0|;
81.4434~1|2,0|-0.42,-3.02|0,0|;
81.6452~1|2,0|0.98,-2.75|0,0|;
81.8475~1|2,0|2.27,-2.36|0,0|;
82.0356~7|2,1|3.5,-2|-1.23,2.86|;
82.3703~2|1,3|-1.23,2.86|-5.94,0.26|;
82.7536~6|3,4|-5.94,0.26|4.83,0.61|;
83.1020~5|2,4|-0.53,-3.07|4.83,0.61|;
83.4784~1|1,0|-1.29,3.13|0,0|;
83.6599~1|1,0|0.05,3.25|0,0|;
83.8610~1|1,0|1.41,3.16|0,0|;
84.0293~1|3,0|-3.84,1.58|0,0|;
84.1895~1|3,0|-4.22,0.39|0,0|;
84.3987~1|4,0|2.46,0.67|0,0|;
84.5941~1|4,0|2.94,-0.58|0,0|;
84.8237~1|4,0|3.1,-1.94|0,0|;
85.0051~1|3,0|-2.6,-1.55|0,0|;
85.1934~1|4,0|1.57,-1.66|0,0|;
85.3745~1|3,0|-1.22,-1.61|0,0|;
85.7021~3|4,1|4.79,-0.19|-0.45,3.35|;
86.1276~6|3,4|-4.31,0.81|4.79,-0.19|;
86.4549~1|2,0|1.07,-3.08|0,0|;
86.6224~1|2,0|-0.28,-3.36|0,0|;
87.1171~1|3,0|-4.9,-1.39|0,0|;
87.3056~1|1,0|-3.33,2.15|0,0|;
87.4939~1|1,0|-2.01,2.58|0,0|;
87.7516~1|1,0|-0.65,2.92|0,0|;
87.9468~1|4,0|3.34,1.62|0,0|;
88.3024~1|3,0|-3.59,-0.15|0,0|;
88.6858~1|4,0|3.56,-1.58|0,0|;
89.0620~1|3,0|-2.19,0.31|0,0|;
89.2293~1|4,0|2.63,-0.77|0,0|;
89.4106~1|2,0|0.22,-2.62|0,0|;
90.1420~1|1,0|0.81,2.81|0,0|;
90.3307~1|2,0|-0.44,-2.3|0,0|;
90.5329~1|4,0|2.62,-0.02|0,0|;
90.7490~1|3,0|-3.19,0.53|0,0|;
90.9163~1|3,0|-3.79,1.83|0,0|;
91.2503~1|2,0|-0.61,-2.41|0,0|;
91.6200~1|2,0|0.64,-2.69|0,0|;
92.0106~1|4,0|3.86,0.23|0,0|;
92.1987~1|4,0|3.24,-1.01|0,0|;
92.4080~6|4,3|2.35,0.06|-3.75,0.07|;
92.7774~1|1,0|-3.22,2.67|0,0|;
92.9378~1|1,0|-1.9,2.96|0,0|;
93.1401~1|1,0|-0.53,3.15|0,0|;
93.3352~1|1,0|0.87,3.2|0,0|;
93.5023~3|1,4|2.26,3.07|6.4,1.21|;
93.8719~1|4,0|5.59,0.09|0,0|;
94.0254~1|4,0|4.73,-0.94|0,0|;
94.2134~1|4,0|3.73,-1.83|0,0|;
94.3952~1|2,0|2.47,-2.44|0,0|;
94.6037~7|2,1|1.15,-2.86|0.2,3.06|;
94.9661~2|1,3|0.2,3.06|-5.71,0.94|;
95.1336~6|3,4|-5.71,0.94|5.19,0.29|;
95.3428~6|3,4|-5.78,-0.85|5.19,0.29|;
95.7330~1|1,0|4.71,2.8|0,0|;
95.9074~1|1,0|4.18,3.08|0,0|;
96.0816~1|1,0|3.4,3.37|0,0|;
96.2836~1|3,0|-5.3,-0.75|0,0|;
96.4300~1|3,0|-4.81,0.18|0,0|;
96.7854~1|4,0|4.31,-2.71|0,0|;
96.9677~1|4,0|4.76,-1.44|0,0|;
97.1479~1|4,0|5.28,-0.18|0,0|;
97.3221~1|4,0|5.59,1.17|0,0|;
97.5593~6|4,3|5.72,2.56|-6.31,0.65|;
97.9148~1|1,0|-2.13,2.47|0,0|;
98.0959~1|3,0|-5.47,-0.49|0,0|;
98.3119~1|3,0|-4.75,-1.64|0,0|;
98.4791~1|2,0|-1.31,-3.09|0,0|;
98.8697~1|2,0|-0.12,-2.73|0,0|;
99.0299~1|3,0|-4.02,0.37|0,0|;
99.2392~1|3,0|-3.56,-0.82|0,0|;
99.4272~1|4,0|2.66,-0.63|0,0|;
99.6016~1|4,0|3.13,0.52|0,0|;
99.7896~1|4,0|3.7,1.75|0,0|;
100.1589~1|1,0|1.37,3.06|0,0|;
100.5145~1|1,0|-0.01,3.37|0,0|;
100.8349~2|1,3|-1.31,3.59|-5.44,1.65|;
101.0235~6|3,4|-5.44,1.65|1.99,0.98|;
101.2186~5|4,2|1.99,0.98|-1.08,-2.65|;
101.9800~1|2,0|0.17,-2.7|0,0|;
102.1000~1|2,0|1.13,-2.78|0,0|;
102.3000~1|2,0|2.38,-2.34|0,0|;
102.5000~1|2,0|3.41,-1.63|0,0|;
102.7000~1|4,0|4.31,-0.7|0,0|;
103.1423~1|4,0|4.75,0.52|0,0|;
103.4911~3|4,1|4.75,1.87|1.11,3.05|;
103.8258~1|1,0|0,3|0,0|;
104.0139~1|3,0|-3.22,-0.3|0,0|;
104.2020~1|4,0|2.47,0.06|0,0|;
104.5995~1|2,0|-0.71,-2.97|0,0|;
104.7807~1|3,0|-3.99,0.27|0,0|;
104.9619~1|4,0|2.35,-0.87|0,0|;
105.1634~1|1,0|0.56,2.12|0,0|;
105.3382~1|3,0|-4.17,1.38|0,0|;
105.7357~1|4,0|3.83,1.44|0,0|;
105.9098~1|1,0|3.52,3.49|0,0|;
106.0910~1|1,0|2.1,3.62|0,0|;
106.2861~1|3,0|-3.69,2.57|0,0|;
106.4674~1|3,0|-4.31,1.33|0,0|;
106.8022~1|4,0|4.61,2.83|0,0|;
106.9834~1|4,0|4.91,1.56|0,0|;
107.1994~1|4,0|5.22,0.29|0,0|;
107.5757~1|2,0|-0.4,-2.82|0,0|;
107.7571~1|2,0|0.91,-2.98|0,0|;
107.9593~1|3,0|-3.54,-1.23|0,0|;
108.1477~1|3,0|-3.81,0.1|0,0|;
108.3142~2|1,3|-0.57,3.27|-4.16,1.4|;
108.6911~1|1,0|0.72,3.43|0,0|;
108.8863~1|1,0|2.04,3.28|0,0|;
109.0606~1|1,0|3.4,3.16|0,0|;
109.2284~1|1,0|4.75,2.95|0,0|;
109.4299~1|2,0|2.24,-0.94|0,0|;
109.7856~4|2,3|0.84,-1.25|-4.71,0.33|;
110.1758~1|4,0|0.97,0.44|0,0|;
110.3294~1|3,0|-4.94,1.71|0,0|;
110.5384~1|4,0|0.7,1.74|0,0|;
110.7336~1|3,0|-4.08,2.81|0,0|;
110.9010~1|2,0|-4.18,-2.2|0,0|;
111.1171~1|2,0|-2.87,-2.56|0,0|;
111.2913~1|2,0|-1.46,-2.69|0,0|;
111.4656~1|2,0|-0.11,-2.69|0,0|;
111.6400~1|2,0|1.27,-2.61|0,0|;
111.9884~7|2,1|2.58,-2.12|0.32,2.77|;
112.3997~3|1,4|0.32,2.77|5.33,0.06|;
112.5740~6|3,4|-5.33,-0.22|5.33,0.06|;
112.7410~4|2,3|-0.48,-3.28|-5.33,-0.22|;
113.0896~1|4,0|1.99,-1.54|0,0|;
113.2710~1|3,0|-1.71,-1.19|0,0|;
113.4799~1|4,0|2.96,-0.5|0,0|;
113.6752~1|3,0|-2.32,0.02|0,0|;
113.8632~1|4,0|3.53,0.68|0,0|;
114.0515~1|3,0|-2.73,1.32|0,0|;
114.2258~1|4,0|3.43,2.06|0,0|;
114.4419~1|3,0|-2.26,2.47|0,0|;
114.6093~1|4,0|2.81,3.27|0,0|;
114.9719~7|2,1|0.31,-2.78|0.18,2.81|;
115.1601~2|3,1|-4.44,-0.45|0.18,2.81|;
115.3342~4|2,3|0.31,-2.78|-4.44,-0.45|;
115.7035~1|4,0|4.04,0.12|0,0|;
115.8707~1|4,0|4.85,1.18|0,0|;
116.0872~1|4,0|4.88,2.49|0,0|;
116.4706~1|2,0|1.24,-3.56|0,0|;
116.6452~1|3,0|-2.62,-0.57|0,0|;
116.8538~1|4,0|2.65,0.12|0,0|;
117.0351~1|3,0|-3.63,0.56|0,0|;
117.2232~1|1,0|0.66,2.23|0,0|;
117.5855~1|3,0|-2.05,0.56|0,0|;
117.7737~1|3,0|-2.88,-0.56|0,0|;
117.9476~1|3,0|-4.08,0.15|0,0|;
118.1294~1|3,0|-3.88,1.43|0,0|;
118.3246~1|3,0|-2.67,1.79|0,0|;
118.6733~1|4,0|2.88,-0.3|0,0|;
118.8544~1|1,0|0.35,2.43|0,0|;
119.0702~1|3,0|-3.01,0.41|0,0|;
119.4258~1|2,0|0.37,-2.76|0,0|;
119.5933~1|4,0|3.17,-0.3|0,0|;
119.7883~1|1,0|-0.66,3.19|0,0|;
119.9696~1|3,0|-2.69,0.97|0,0|;
120.1576~1|2,0|-0.16,-3.08|0,0|;
120.5411~1|4,0|2.76,-1.02|0,0|;
120.7153~1|1,0|0.18,2.22|0,0|;
120.9175~1|1,0|1.45,1.68|0,0|;
121.1057~1|1,0|2.64,1.03|0,0|;
121.3010~6|4,3|3.74,0.11|-4.64,0.28|;
121.6634~4|2,3|-0.68,-2.7|-4.64,0.28|;
122.0186~1|3,0|-5.19,1.54|0,0|;
122.1995~1|3,0|-5.41,2.83|0,0|;
122.6180~1|1,0|-2.24,2.91|0,0|;
122.7788~1|2,0|-2.5,-2.53|0,0|;
122.9598~1|4,0|2.05,-0.83|0,0|;
123.1270~1|4,0|2.71,0.31|0,0|;
123.3432~1|3,0|-4.41,-0.04|0,0|;
123.5246~1|2,0|-1,-2.57|0,0|;
123.8451~7|2,1|0.36,-2.8|-0.3,2.27|;
124.2634~1|2,0|-1.06,-2.02|0,0|;
124.5911~1|4,0|2.24,-0.21|0,0|;
124.9743~1|3,0|-4.24,-0.09|0,0|;
125.1346~1|1,0|-1.31,2.94|0,0|;
125.5110~1|4,0|3.09,0.1|0,0|;
125.6854~1|2,0|-0.09,-2.45|0,0|;
125.8665~1|1,0|0.45,2.25|0,0|;
126.0688~1|1,0|-0.84,2.63|0,0|;
126.2639~1|1,0|-2.19,2.75|0,0|;
126.4450~1|1,0|-3.44,2.49|0,0|;
126.7936~7|1,2|-4.72,1.97|-5.08,-2.48|;
127.2257~1|2,0|-0.02,-2.34|0,0|;
127.5319~1|3,0|-3.39,-0.32|0,0|;
127.7347~1|4,0|2.76,0.17|0,0|;
127.9090~1|3,0|-2.84,1.2|0,0|;
128.2924~1|1,0|0.2,2.61|0,0|;
128.4737~1|2,0|0.23,-2.31|0,0|;
128.6689~1|3,0|-3.31,0.31|0,0|;
128.8572~1|4,0|2.81,0.69|0,0|;
129.0520~1|4,0|3.66,1.48|0,0|;
