Song Name=Nömak & Araatan - Teeter-Totter$

// POSITION X :  -7  to   7
// POSITION Y : 3.2 to -3.2
//            1           2          3           4           5            6         7
// CHAIN: singleNote, upperLeft, upperRight, bottomLeft, bottomRight, leftRight, upDown
//            1    2     3      4
// DIRECTION: up, down, left, right
// 
// FORMAT: time~chain|direction,direction2|positionX,positionY|position2X,position2Y
*
41.4279~1|1,0|0,3|0,0;
41.6508~1|3,0|-5,0|0,0;
41.8811~1|2,0|0,-3|0,0;
42.1180~1|1,0|0,3|0,0;
42.3619~1|4,0|5,0|0,0;
42.6755~1|2,0|0,-3|0,0;
42.9126~1|1,0|0,3|0,0;
43.1984~1|3,0|-5,0|0,0;
43.4424~1|2,0|0,-3|0,0;
43.6516~1|1,0|0,3|0,0;
43.9234~1|4,0|5,0|0,0;
44.1466~1|2,0|0,-3|0,0;
44.3767~1|1,0|0,3|0,0;
44.6554~1|3,0|-5,0|0,0;
44.8782~1|2,0|0,-3|0,0;
45.1014~1|1,0|0,3|0,0;
45.3523~1|4,0|5,0|0,0;
45.5892~1|2,0|0,-3|0,0;
45.8053~1|1,0|0,3|0,0;
46.0632~1|3,0|-5,0|0,0;
46.2864~1|2,0|0,-3|0,0;
46.5095~1|1,0|0,3|0,0;
46.7602~1|3,0|-5,0|0,0;
46.9691~1|4,0|5,0|0,0;
47.2342~1|2,0|0,-3|0,0;
47.4501~1|1,0|0,3|0,0;
47.7291~1|3,0|-5,0|0,0;
47.9522~1|4,0|5,0|0,0;
48.1683~1|2,0|0,-3|0,0;
48.3844~1|1,0|0,3|0,0;
48.7049~1|3,0|-5,0|0,0;
48.9767~1|2,0|0,-3|0,0;
49.2347~1|1,0|0,3|0,0;
49.4296~1|4,0|5,0|0,0;
49.6318~1|2,0|0,-3|0,0;
49.8061~1|1,0|0,3|0,0;
49.9734~1|1,0|0,3|0,0;
50.1127~1|1,0|0,3|0,0;
50.2452~1|1,0|0,3|0,0;
50.3844~1|1,0|0,3|0,0;
50.5236~1|1,0|0,3|0,0;
50.6561~1|1,0|0,3|0,0;
50.7816~1|1,0|0,3|0,0;
50.9280~1|1,0|0,3|0,0;
51.0536~1|1,0|0,3|0,0;
51.2557~1|1,0|0,3|0,0;
51.3743~1|1,0|0,3|0,0;
51.4858~1|1,0|0,3|0,0;
51.6114~1|1,0|0,3|0,0;
51.7298~1|1,0|0,3|0,0;
51.8552~1|1,0|0,3|0,0;
51.9738~1|1,0|0,3|0,0;
52.0991~1|1,0|0,3|0,0;
52.2176~1|1,0|0,3|0,0;
52.4267~1|1,0|0,3|0,0;
52.6567~1|1,0|0,3|0,0;
52.8795~1|1,0|0,3|0,0;
53.1375~1|3,0|-5,0|0,0;
53.3605~1|4,0|5,0|0,0;
53.6115~1|2,0|0,-3|0,0;
53.8135~1|1,0|0,3|0,0;
54.0784~1|3,0|-5,0|0,0;
54.3154~1|4,0|5,0|0,0;
54.5454~1|2,0|0,-3|0,0;
54.7893~1|1,0|0,3|0,0;
55.0333~1|3,0|-5,0|0,0;
55.2772~1|4,0|5,0|0,0;
55.5142~1|2,0|0,-3|0,0;
55.7513~1|1,0|0,3|0,0;
55.9951~1|3,0|-5,0|0,0;
56.2256~1|4,0|5,0|0,0;
56.4558~1|2,0|0,-3|0,0;
56.7134~1|1,0|0,3|0,0;
56.9433~1|3,0|-5,0|0,0;
57.1733~1|4,0|5,0|0,0;
57.4111~1|2,0|0,-3|0,0;
57.5921~1|2,0|0,-3|0,0;
57.8426~1|1,0|0,3|0,0;
58.0936~1|4,0|5,0|0,0;
58.3584~1|3,0|-5,0|0,0;
58.6022~1|2,0|0,-3|0,0;
58.8252~1|1,0|0,3|0,0;
59.0552~1|4,0|5,0|0,0;
59.3131~1|2,0|0,-3|0,0;
59.5291~1|1,0|0,3|0,0;
59.7871~1|3,0|-5,0|0,0;
60.0099~1|4,0|5,0|0,0;
60.2471~1|2,0|0,-3|0,0;
60.5120~1|1,0|0,3|0,0;
60.7420~1|3,0|-5,0|0,0;
60.9512~1|4,0|5,0|0,0;
61.1813~1|2,0|0,-3|0,0;
61.3973~1|1,0|0,3|0,0;
61.6481~1|3,0|-5,0|0,0;
61.8849~1|4,0|5,0|0,0;
62.1217~1|2,0|0,-3|0,0;
62.3518~1|1,0|0,3|0,0;
62.6027~1|3,0|-5,0|0,0;
62.8324~1|4,0|5,0|0,0;
63.0626~1|2,0|0,-3|0,0;
63.3068~1|1,0|0,3|0,0;
63.5508~1|3,0|-5,0|0,0;
63.7946~1|2,0|0,-3|0,0;
64.0455~1|1,0|0,3|0,0;
64.2477~1|4,0|5,0|0,0;
64.5057~1|2,0|0,-3|0,0;
64.7218~1|1,0|0,3|0,0;
64.9730~1|3,0|-5,0|0,0;
65.2097~1|4,0|5,0|0,0;
65.4468~1|2,0|0,-3|0,0;
65.6701~1|1,0|0,3|0,0;
65.9279~1|3,0|-5,0|0,0;
66.1512~1|4,0|5,0|0,0;
66.3952~1|2,0|0,-3|0,0;
66.6254~1|1,0|0,3|0,0;
66.8621~1|3,0|-5,0|0,0;
67.0785~1|4,0|5,0|0,0;
67.3015~1|2,0|0,-3|0,0;
67.5247~1|1,0|0,3|0,0;
67.7684~1|3,0|-5,0|0,0;
67.9986~1|4,0|5,0|0,0;
68.2564~1|2,0|0,-3|0,0;
68.4794~1|1,0|0,3|0,0;
68.7092~1|3,0|-5,0|0,0;
68.9540~1|2,0|0,-3|0,0;
69.1974~1|1,0|0,3|0,0;
69.4484~1|3,0|-5,0|0,0;
69.6783~1|2,0|0,-3|0,0;
69.9223~1|1,0|0,3|0,0;
70.1527~1|4,0|5,0|0,0;
70.4380~1|2,0|0,-3|0,0;
70.6544~1|1,0|0,3|0,0;
70.9190~1|3,0|-5,0|0,0;
71.1350~1|4,0|5,0|0,0;
71.3513~1|2,0|0,-3|0,0;
71.5603~1|2,0|0,-3|0,0;
71.7972~1|1,0|0,3|0,0;
72.0414~1|3,0|-5,0|0,0;
72.2787~1|4,0|5,0|0,0;
72.5290~1|2,0|0,-3|0,0;
72.7380~1|1,0|0,3|0,0;
72.9783~1|3,0|-5,0|0,0;
73.1929~1|4,0|5,0|0,0;
73.4508~1|2,0|0,-3|0,0;
73.6531~1|1,0|0,3|0,0;
73.9040~1|3,0|-5,0|0,0;
74.1339~1|2,0|0,-3|0,0;
74.3849~1|2,0|0,-3|0,0;
74.6079~1|1,0|0,3|0,0;
74.8729~1|4,0|5,0|0,0;
75.1031~1|2,0|0,-3|0,0;
75.3259~1|1,0|0,3|0,0;
75.5769~1|3,0|-5,0|0,0;
75.8002~1|2,0|0,-3|0,0;
76.0300~1|1,0|0,3|0,0;
76.2673~1|4,0|5,0|0,0;
76.5110~1|2,0|0,-3|0,0;
76.7412~1|1,0|0,3|0,0;
76.9991~1|3,0|-5,0|0,0;
77.2364~1|2,0|0,-3|0,0;
77.4663~1|1,0|0,3|0,0;
77.6894~1|4,0|5,0|0,0;
77.9332~1|2,0|0,-3|0,0;
78.1704~1|1,0|0,3|0,0;
78.4076~1|3,0|-5,0|0,0;
78.6373~1|4,0|5,0|0,0;
79.1537~1|1,0|0,3|0,0;
79.3630~1|2,0|0,-3|0,0;
79.5996~1|3,0|-5,0|0,0;
79.8505~1|1,0|0,3|0,0;
80.0806~1|4,0|5,0|0,0;
80.3106~1|2,0|0,-3|0,0;
80.5410~1|1,0|0,3|0,0;
80.7916~1|3,0|-5,0|0,0;
81.0075~1|2,0|0,-3|0,0;
81.2096~1|1,0|0,3|0,0;
81.4328~1|4,0|5,0|0,0;
81.7255~1|1,0|0,3|0,0;
81.9694~1|3,0|-5,0|0,0;
82.2066~1|2,0|0,-3|0,0;
82.4508~1|1,0|0,3|0,0;
82.6808~1|4,0|5,0|0,0;
82.9246~1|2,0|0,-3|0,0;
83.3846~1|1,0|0,3|0,0;
83.8655~1|3,0|-5,0|0,0;
84.3680~1|1,0|0,3|0,0;
84.5706~1|4,0|5,0|0,0;
84.7787~1|2,0|0,-3|0,0;
85.0367~1|1,0|0,3|0,0;
85.2529~1|3,0|-5,0|0,0;
85.7414~1|2,0|0,-3|0,0;
86.2222~1|1,0|0,3|0,0;
86.4247~1|4,0|5,0|0,0;
86.6826~1|3,0|-5,0|0,0;
86.8910~1|2,0|0,-3|0,0;
87.1630~1|1,0|0,3|0,0;
87.6090~1|4,0|5,0|0,0;
88.0899~1|2,0|0,-3|0,0;
88.2988~1|1,0|0,3|0,0;
88.5292~1|3,0|-5,0|0,0;
88.7871~1|4,0|5,0|0,0;
89.0309~1|2,0|0,-3|0,0;
89.4909~1|1,0|0,3|0,0;
89.6931~1|4,0|5,0|0,0;
89.9581~1|2,0|0,-3|0,0;
90.1951~1|1,0|0,3|0,0;
90.4390~1|3,0|-5,0|0,0;
90.6552~1|2,0|0,-3|0,0;
90.9201~1|1,0|0,3|0,0;
91.1439~1|4,0|5,0|0,0;
91.4088~1|2,0|0,-3|0,0;
91.9038~1|1,0|0,3|0,0;
92.3496~1|3,0|-5,0|0,0;
92.5657~1|2,0|0,-3|0,0;
92.8027~1|1,0|0,3|0,0;
93.2629~1|4,0|5,0|0,0;
93.7654~1|2,0|0,-3|0,0;
93.9815~1|1,0|0,3|0,0;
94.2318~1|3,0|-5,0|0,0;
94.4829~1|2,0|0,-3|0,0;
94.7059~1|1,0|0,3|0,0;
95.1936~1|4,0|5,0|0,0;
95.6540~1|2,0|0,-3|0,0;
95.8634~1|1,0|0,3|0,0;
96.1628~1|1,0|0,3|0,0;
96.9988~1|1,0|0,3|0,0;
97.2289~1|1,0|0,3|0,0;
97.4732~1|1,0|0,3|0,0;
98.0098~1|2,0|0,-3|0,0;
98.2259~1|1,0|0,3|0,0;
98.5054~1|3,0|-5,0|0,0;
98.7009~1|4,0|5,0|0,0;
98.9444~1|2,0|0,-3|0,0;
99.2021~1|1,0|0,3|0,0;
99.4809~1|3,0|-5,0|0,0;
99.6970~1|2,0|0,-3|0,0;
99.9131~1|1,0|0,3|0,0;
100.1500~1|4,0|5,0|0,0;
100.3937~1|2,0|0,-3|0,0;
100.6030~1|2,0|0,-3|0,0;
100.8472~1|3,0|-5,0|0,0;
101.1123~1|4,0|5,0|0,0;
101.3420~1|1,0|0,3|0,0;
101.6069~1|3,0|-5,0|0,0;
101.8090~1|2,0|0,-3|0,0;
102.0530~1|1,0|0,3|0,0;
102.3527~1|4,0|5,0|0,0;
102.5686~1|3,0|-5,0|0,0;
102.9032~1|2,0|0,-3|0,0;
103.1889~1|1,0|0,3|0,0;
103.3570~1|4,0|5,0|0,0;
103.6353~1|2,0|0,-3|0,0;
103.8369~1|1,0|0,3|0,0;
104.1021~1|3,0|-5,0|0,0;
104.3325~1|2,0|0,-3|0,0;
104.6109~1|1,0|0,3|0,0;
104.8479~1|4,0|5,0|0,0;
105.1060~1|2,0|0,-3|0,0;
105.3010~1|1,0|0,3|0,0;
105.5310~1|3,0|-5,0|0,0;
105.7752~1|2,0|0,-3|0,0;
106.0263~1|1,0|0,3|0,0;
106.2561~1|4,0|5,0|0,0;
106.5140~1|2,0|0,-3|0,0;
106.7442~1|1,0|0,3|0,0;
107.0090~1|3,0|-5,0|0,0;
107.2252~1|2,0|0,-3|0,0;
107.4483~1|1,0|0,3|0,0;
107.6643~1|4,0|5,0|0,0;
107.9085~1|2,0|0,-3|0,0;
108.1453~1|1,0|0,3|0,0;
108.3965~1|3,0|-5,0|0,0;
108.6473~1|2,0|0,-3|0,0;
108.8704~1|1,0|0,3|0,0;
109.1148~1|4,0|5,0|0,0;
109.3456~1|2,0|0,-3|0,0;
109.5611~1|1,0|0,3|0,0;
109.8185~1|3,0|-5,0|0,0;
110.0486~1|2,0|0,-3|0,0;
110.3135~1|1,0|0,3|0,0;
110.5647~1|4,0|5,0|0,0;
110.8221~1|2,0|0,-3|0,0;
111.0452~1|1,0|0,3|0,0;
111.2822~1|3,0|-5,0|0,0;
111.6936~1|2,0|0,-3|0,0;
111.8958~1|2,0|0,-3|0,0;
112.1468~1|4,0|5,0|0,0;
112.3765~1|1,0|0,3|0,0;
112.6554~1|3,0|-5,0|0,0;
112.8784~1|2,0|0,-3|0,0;
113.1504~1|1,0|0,3|0,0;
113.6180~1|4,0|5,0|0,0;
114.6073~1|2,0|0,-3|0,0;
115.5341~1|1,0|0,3|0,0;
116.4477~1|3,0|-5,0|0,0;
117.4238~1|4,0|5,0|0,0;
118.3573~1|2,0|0,-3|0,0;
119.2567~1|1,0|0,3|0,0;
121.1381~1|3,0|-5,0|0,0;
122.0940~1|2,0|0,-3|0,0;
123.0412~1|1,0|0,3|0,0;
123.9759~1|4,0|5,0|0,0;
124.9511~1|3,0|-5,0|0,0;
125.8927~1|1,0|0,3|0,0;
126.7778~1|2,0|0,-3|0,0;
128.1933~1|4,0|5,0|0,0;
128.6666~1|3,0|-5,0|0,0;
129.7051~1|1,0|0,3|0,0;
130.6746~1|2,0|0,-3|0,0;
131.5872~1|4,0|5,0|0,0;
131.8733~1|1,0|0,3|0,0;
132.2216~1|2,0|0,-3|0,0;
132.4936~1|3,0|-5,0|0,0;
133.4957~1|4,0|5,0|0,0;
133.8853~1|1,0|0,3|0,0;
134.5131~1|3,0|-5,0|0,0;
135.3777~1|2,0|0,-3|0,0;
135.6219~1|1,0|0,3|0,0;
135.9005~1|4,0|5,0|0,0;
136.2701~1|2,0|0,-3|0,0;
137.1904~1|1,0|0,3|0,0;
137.4554~1|3,0|-5,0|0,0;
138.2005~1|2,0|0,-3|0,0;
138.4305~1|1,0|0,3|0,0;
139.1203~1|4,0|5,0|0,0;
139.3504~1|1,0|0,3|0,0;
140.0968~1|3,0|-5,0|0,0;
141.0586~1|2,0|0,-3|0,0;
141.3931~1|1,0|0,3|0,0;
141.7834~1|4,0|5,0|0,0;
142.1667~1|3,0|-5,0|0,0;
143.6789~1|4,0|5,0|0,0;
143.7695~1|3,0|-5,0|0,0;
144.1390~1|4,0|5,0|0,0;
144.1948~1|3,0|-5,0|0,0;
144.3134~1|4,0|5,0|0,0;
144.4109~1|3,0|-5,0|0,0;
144.4875~1|4,0|5,0|0,0;
144.5849~1|3,0|-5,0|0,0;
144.6827~1|4,0|5,0|0,0;
144.7731~1|3,0|-5,0|0,0;
144.8569~1|4,0|5,0|0,0;
145.1011~1|3,0|-5,0|0,0;
145.5541~1|4,0|5,0|0,0;
146.0349~1|3,0|-5,0|0,0;
146.2855~1|1,0|0,3|0,0;
146.5015~1|2,0|0,-3|0,0;
146.7597~1|3,0|-5,0|0,0;
146.9620~1|4,0|5,0|0,0;
147.1986~1|1,0|0,3|0,0;
147.4218~1|2,0|0,-3|0,0;
147.7285~1|3,0|-5,0|0,0;
147.8750~1|3,0|-5,0|0,0;
148.0076~1|3,0|-5,0|0,0;
148.1403~1|3,0|-5,0|0,0;
148.1539~1|4,0|5,0|0,0;
148.3212~1|1,0|0,3|0,0;
148.6069~1|3,0|-5,0|0,0;
148.7535~1|4,0|5,0|0,0;
148.9762~1|3,0|-5,0|0,0;
149.0739~1|4,0|5,0|0,0;
149.1647~1|3,0|-5,0|0,0;
149.2481~1|4,0|5,0|0,0;
149.3458~1|3,0|-5,0|0,0;
149.4016~1|4,0|5,0|0,0;
149.5968~1|1,0|0,3|0,0;
149.8270~1|2,0|0,-3|0,0;
150.0221~1|3,0|-5,0|0,0;
150.2244~1|4,0|5,0|0,0;
150.4685~1|2,0|0,-3|0,0;
150.6985~1|1,0|0,3|0,0;
150.9491~1|3,0|-5,0|0,0;
151.1726~1|4,0|5,0|0,0;
151.4234~1|2,0|0,-3|0,0;
151.5768~1|1,0|0,3|0,0;
151.7579~1|3,0|-5,0|0,0;
151.8975~1|4,0|5,0|0,0;
151.9671~1|2,0|0,-3|0,0;
152.1832~1|1,0|0,3|0,0;
152.3016~1|4,0|5,0|0,0;
152.4061~1|2,0|0,-3|0,0;
152.5737~1|3,0|-5,0|0,0;
152.7690~1|2,0|0,-3|0,0;
152.9010~1|1,0|0,3|0,0;
153.1453~1|3,0|-5,0|0,0;
153.3405~1|2,0|0,-3|0,0;
153.5841~1|1,0|0,3|0,0;
153.8283~1|4,0|5,0|0,0;
154.0931~1|2,0|0,-3|0,0;
154.3372~1|1,0|0,3|0,0;
154.5672~1|3,0|-5,0|0,0;
154.7971~1|2,0|0,-3|0,0;
155.0064~1|1,0|0,3|0,0;
155.2154~1|4,0|5,0|0,0;
155.4384~1|2,0|0,-3|0,0;
155.6475~1|2,0|0,-3|0,0;
155.9132~1|1,0|0,3|0,0;
156.1571~1|3,0|-5,0|0,0;
156.4146~1|2,0|0,-3|0,0;
156.6585~1|1,0|0,3|0,0;
156.8892~1|4,0|5,0|0,0;
157.1192~1|2,0|0,-3|0,0;
157.3355~1|1,0|0,3|0,0;
157.5788~1|3,0|-5,0|0,0;
157.8021~1|2,0|0,-3|0,0;
158.0321~1|1,0|0,3|0,0;
158.2410~1|4,0|5,0|0,0;
158.4988~1|2,0|0,-3|0,0;
158.7150~1|1,0|0,3|0,0;
158.9945~1|3,0|-5,0|0,0;
159.1201~1|2,0|0,-3|0,0;
159.2874~1|1,0|0,3|0,0;
159.3917~1|4,0|5,0|0,0;
159.5307~1|2,0|0,-3|0,0;
159.7537~1|1,0|0,3|0,0;
159.9700~1|3,0|-5,0|0,0;
160.1440~1|1,0|0,3|0,0;
160.3673~1|1,0|0,3|0,0;
160.6526~1|1,0|0,3|0,0;
160.8899~1|1,0|0,3|0,0;
161.0085~1|1,0|0,3|0,0;
161.1339~1|1,0|0,3|0,0;
161.2666~1|1,0|0,3|0,0;
161.3849~1|1,0|0,3|0,0;
161.6221~1|1,0|0,3|0,0;
161.8242~1|1,0|0,3|0,0;
162.0473~1|4,0|5,0|0,0;
162.3051~1|1,0|0,3|0,0;
162.5908~1|1,0|0,3|0,0;
162.8069~1|1,0|0,3|0,0;
162.9325~1|1,0|0,3|0,0;
163.0512~1|1,0|0,3|0,0;
163.1486~1|1,0|0,3|0,0;
163.4551~1|1,0|0,3|0,0;
163.5736~1|1,0|0,3|0,0;
163.7127~1|1,0|0,3|0,0;
163.8522~1|1,0|0,3|0,0;
163.9917~1|1,0|0,3|0,0;
164.1382~1|1,0|0,3|0,0;
164.4176~1|1,0|0,3|0,0;
164.5360~1|1,0|0,3|0,0;
164.6686~1|1,0|0,3|0,0;
164.8075~1|1,0|0,3|0,0;
164.9330~1|1,0|0,3|0,0;
165.0654~1|1,0|0,3|0,0;
165.3649~1|1,0|0,3|0,0;
165.4905~1|1,0|0,3|0,0;
165.6297~1|1,0|0,3|0,0;
165.7759~1|1,0|0,3|0,0;
165.9223~1|1,0|0,3|0,0;
166.2571~1|1,0|0,3|0,0;
166.3755~1|1,0|0,3|0,0;
166.5290~1|1,0|0,3|0,0;
166.6545~1|1,0|0,3|0,0;
166.8984~1|1,0|0,3|0,0;
167.0587~1|1,0|0,3|0,0;
167.2889~1|1,0|0,3|0,0;
167.4775~1|1,0|0,3|0,0;
167.7216~1|1,0|0,3|0,0;
167.9512~1|1,0|0,3|0,0;
168.1884~1|1,0|0,3|0,0;
168.4253~1|1,0|0,3|0,0;
168.6901~1|2,0|0,-3|0,0;
168.9338~1|3,0|-5,0|0,0;
169.1569~1|4,0|5,0|0,0;
169.4010~1|2,0|0,-3|0,0;
169.6379~1|1,0|0,3|0,0;
169.8818~1|1,0|0,3|0,0;
170.3279~1|1,0|0,3|0,0;
170.4393~1|1,0|0,3|0,0;
170.5650~1|1,0|0,3|0,0;
170.6974~1|1,0|0,3|0,0;
170.9762~1|1,0|0,3|0,0;
171.1016~1|1,0|0,3|0,0;
171.2340~1|1,0|0,3|0,0;
171.3664~1|1,0|0,3|0,0;
171.5128~1|1,0|0,3|0,0;
171.6314~1|1,0|0,3|0,0;
171.9586~1|1,0|0,3|0,0;
172.0979~1|1,0|0,3|0,0;
172.2307~1|1,0|0,3|0,0;
172.3839~1|1,0|0,3|0,0;
172.5302~1|1,0|0,3|0,0;
172.6627~1|1,0|0,3|0,0;
172.9202~1|1,0|0,3|0,0;
173.0387~1|1,0|0,3|0,0;
173.1642~1|1,0|0,3|0,0;
173.4079~1|1,0|0,3|0,0;
173.5966~1|1,0|0,3|0,0;
174.0635~1|4,0|5,0|0,0;
174.3144~1|2,0|0,-3|0,0;
174.5304~1|1,0|0,3|0,0;
174.8092~1|3,0|-5,0|0,0;
175.0393~1|2,0|0,-3|0,0;
175.2977~1|1,0|0,3|0,0;
175.5348~1|4,0|5,0|0,0;
175.7925~1|2,0|0,-3|0,0;
176.0158~1|1,0|0,3|0,0;
176.2662~1|3,0|-5,0|0,0;
176.4891~1|2,0|0,-3|0,0;
176.7191~1|1,0|0,3|0,0;
176.9492~1|4,0|5,0|0,0;
177.1929~1|2,0|0,-3|0,0;
177.4093~1|1,0|0,3|0,0;
177.6461~1|3,0|-5,0|0,0;
177.9111~1|2,0|0,-3|0,0;
178.1413~1|1,0|0,3|0,0;
178.3576~1|4,0|5,0|0,0;
178.6154~1|2,0|0,-3|0,0;
178.8385~1|2,0|0,-3|0,0;
179.0548~1|3,0|-5,0|0,0;
179.3056~1|1,0|0,3|0,0;
179.5357~1|2,0|0,-3|0,0;
179.7519~1|2,0|0,-3|0,0;
179.8773~1|3,0|-5,0|0,0;
180.1564~1|2,0|0,-3|0,0;
180.4139~1|4,0|5,0|0,0;
180.6655~1|1,0|0,3|0,0;
180.9445~1|2,0|0,-3|0,0;
181.1948~1|1,0|0,3|0,0;
181.4457~1|3,0|-5,0|0,0;
181.6617~1|4,0|5,0|0,0;
181.9128~1|2,0|0,-3|0,0;
182.1011~1|1,0|0,3|0,0;
182.3727~1|3,0|-5,0|0,0;
182.5819~1|2,0|0,-3|0,0;
182.8401~1|1,0|0,3|0,0;
183.0701~1|4,0|5,0|0,0;
183.3211~1|2,0|0,-3|0,0;
183.5445~1|1,0|0,3|0,0;
183.8097~1|3,0|-5,0|0,0;
184.0257~1|2,0|0,-3|0,0;
184.2902~1|1,0|0,3|0,0;
184.5061~1|4,0|5,0|0,0;
184.7360~1|2,0|0,-3|0,0;
184.9874~1|1,0|0,3|0,0;
185.4472~1|3,0|-5,0|0,0;
185.6074~1|2,0|0,-3|0,0;
185.7886~1|1,0|0,3|0,0;
186.0603~1|4,0|5,0|0,0;
186.2556~1|2,0|0,-3|0,0;
186.4856~1|1,0|0,3|0,0;
186.6180~1|1,0|0,3|0,0;
187.0433~1|1,0|0,3|0,0;
187.1616~1|1,0|0,3|0,0;
187.3148~1|1,0|0,3|0,0;
187.4544~1|1,0|0,3|0,0;
187.5937~1|1,0|0,3|0,0;
188.0465~1|1,0|0,3|0,0;
188.1652~1|1,0|0,3|0,0;
188.3047~1|1,0|0,3|0,0;
188.5347~1|1,0|0,3|0,0;
188.7507~1|1,0|0,3|0,0;
189.2246~1|1,0|0,3|0,0;
189.6569~1|1,0|0,3|0,0;
189.8660~1|1,0|0,3|0,0;
190.1101~1|1,0|0,3|0,0;
190.4656~1|1,0|0,3|0,0;
190.8489~1|1,0|0,3|0,0;
191.1210~1|1,0|0,3|0,0;
191.6088~1|1,0|0,3|0,0;
191.7901~1|1,0|0,3|0,0;
192.0131~1|1,0|0,3|0,0;
192.4528~1|1,0|0,3|0,0;
193.0644~1|1,0|0,3|0,0;
193.5039~1|1,0|0,3|0,0;
193.6852~1|1,0|0,3|0,0;
193.9081~1|1,0|0,3|0,0;
194.1802~1|1,0|0,3|0,0;
194.6329~1|1,0|0,3|0,0;
195.2401~1|1,0|0,3|0,0;
195.5054~1|1,0|0,3|0,0;
195.8253~1|1,0|0,3|0,0;
195.9996~1|1,0|0,3|0,0;
196.2365~1|1,0|0,3|0,0;
196.5573~1|1,0|0,3|0,0;
196.7662~1|1,0|0,3|0,0;
197.2401~1|1,0|0,3|0,0;
197.5326~1|1,0|0,3|0,0;
197.6721~1|1,0|0,3|0,0;
197.9372~1|1,0|0,3|0,0;
198.2020~1|1,0|0,3|0,0;
198.3273~1|1,0|0,3|0,0;
198.4528~1|1,0|0,3|0,0;
198.6761~1|1,0|0,3|0,0;
199.1358~1|1,0|0,3|0,0;
199.3867~1|1,0|0,3|0,0;
199.6586~1|1,0|0,3|0,0;
199.9026~1|1,0|0,3|0,0;
200.2861~1|1,0|0,3|0,0;
200.3976~1|1,0|0,3|0,0;
200.5021~1|1,0|0,3|0,0;
200.7740~1|1,0|0,3|0,0;
