Song Name=雷雨心 - 記念$

// POSITION X :  -7  to   7
// POSITION Y : 3.2 to -3.2
//            1           2          3           4           5            6         7
// CHAIN: singleNote, upperLeft, upperRight, bottomLeft, bottomRight, leftRight, upDown
//            1    2     3      4
// DIRECTION: up, down, left, right
// 
// FORMAT: time~chain|direction,direction2|positionX,positionY|position2X,position2Y|
*
18.7586~1|1,0|-0.75,2.68|0,0|;
19.3234~1|3,0|-5,0|0,0|;
19.8880~1|2,0|-2.48,-2.11|0,0|;
20.4180~1|1,0|-1.57,2.69|0,0|;
20.7319~1|4,0|5,0|0,0|;
20.9681~1|4,0|3.54,-0.68|0,0|;
21.4705~1|1,0|0.76,2.69|0,0|;
22.0840~1|2,0|1.45,-2.06|0,0|;
22.5719~1|3,0|-3.81,1.42|0,0|;
22.8298~1|1,0|-0.8,2.77|0,0|;
23.1014~1|2,0|-2.41,-1.56|0,0|;
23.9309~7|2,1|1.03,-2.75|-0.59,2.6|;
25.0395~1|4,0|5,0|0,0|;
25.3602~6|4,3|3.82,-0.56|-1.77,0|;
27.4308~7|1,2|0,3|0,-3|;
27.9953~1|3,0|-5,0|0,0|;
28.5741~1|2,0|1.21,-1.3|0,0|;
28.8460~1|1,0|0.07,2.33|0,0|;
29.1310~1|4,0|2.7,0.72|0,0|;
29.3896~1|3,0|-2.37,-0.52|0,0|;
29.6824~1|2,0|-1.25,-2.24|0,0|;
29.9683~1|1,0|1.1,2.23|0,0|;
30.4701~1|4,0|2.31,0.4|0,0|;
31.0972~1|2,0|0,-3|0,0|;
31.3342~7|2,1|-1.36,-2.46|-0.28,2.71|;
31.8500~6|4,3|3.72,1.81|-2.54,-1.68|;
32.3941~6|3,4|-2.1,1.45|3.98,-1.77|;
32.9444~1|2,0|-0.6,-2.49|0,0|;
33.1817~1|1,0|0.77,2.09|0,0|;
33.4911~1|3,0|-2.4,0.15|0,0|;
33.7442~1|4,0|3.7,-1.67|0,0|;
34.0226~1|1,0|0,3|0,0|;
34.2874~1|2,0|-1.67,-1.87|0,0|;
34.8386~1|4,0|2.91,0.62|0,0|;
35.3400~1|3,0|-5,0|0,0|;
35.5914~1|1,0|-2.37,1.98|0,0|;
36.1555~1|2,0|0.94,-2.56|0,0|;
36.7207~1|2,0|-0.93,-2.8|0,0|;
37.3203~1|4,0|3.16,-0.72|0,0|;
37.5575~1|3,0|-3.81,0.85|0,0|;
37.8363~1|2,0|-1.99,-2.34|0,0|;
38.0732~1|1,0|0.9,2.44|0,0|;
38.3793~1|4,0|2.95,-0.34|0,0|;
38.6377~1|3,0|-4.03,-0.64|0,0|;
39.2088~1|1,0|-2.16,1.52|0,0|;
39.7530~1|3,0|-3.56,-0.28|0,0|;
40.2481~1|2,0|0,-3|0,0|;
40.5266~1|2,0|1.15,-2.54|0,0|;
40.8268~1|1,0|0,3|0,0|;
41.4403~1|3,0|-2.22,1.38|0,0|;
41.9421~6|4,3|2.93,-0.17|-4.95,0.27|;
42.5345~1|2,0|0,-3|0,0|;
42.7786~1|2,0|1.3,-1.89|0,0|;
43.0298~1|2,0|2.3,-0.78|0,0|;
43.5875~1|4,0|3.38,0.34|0,0|;
44.1373~2|1,3|-0.2,2.73|-2.72,-0.01|;
44.9184~1|4,0|2.06,-0.64|0,0|;
45.4904~1|2,0|0.19,-2.9|0,0|;
46.0341~1|2,0|-1.68,-2.44|0,0|;
46.2988~1|3,0|-5,0|0,0|;
46.5778~1|4,0|3.7,-0.13|0,0|;
46.8427~1|1,0|1.33,2.28|0,0|;
47.1213~1|3,0|-2.69,0.64|0,0|;
47.3865~1|4,0|3.11,-1.02|0,0|;
47.9719~1|2,0|1.07,-2.44|0,0|;
48.4880~1|1,0|-1.42,2.32|0,0|;
48.7598~3|4,1|1.86,0.06|-2.02,2.56|;
49.3385~1|2,0|0,-3|0,0|;
49.8542~1|4,0|2.35,-0.94|0,0|;
50.4677~1|4,0|5,0|0,0|;
50.6977~1|1,0|0,3|0,0|;
50.9556~1|2,0|0,-3|0,0|;
51.2131~1|2,0|-1.28,-2.63|0,0|;
51.4710~1|2,0|-2.49,-1.86|0,0|;
51.7713~1|2,0|-3.57,-1.02|0,0|;
52.2940~2|3,1|-4.8,0.44|-0.67,3.19|;
52.6008~1|4,0|5,0|0,0|;
52.8516~1|2,0|0,-3|0,0|;
53.1230~1|1,0|1.69,2.05|0,0|;
53.7228~1|4,0|5,0|0,0|;
54.2668~1|1,0|0,3|0,0|;
54.6920~1|2,0|0,-3|0,0|;
54.7825~1|3,0|-2.89,-1.39|0,0|;
55.0321~1|4,0|1.71,-0.19|0,0|;
55.3523~1|4,0|5,0|0,0|;
55.8749~1|1,0|0,3|0,0|;
56.4459~1|2,0|0,-3|0,0|;
56.8509~1|3,0|-5,0|0,0|;
56.9975~1|1,0|0,3|0,0|;
57.2412~1|2,0|0.46,-0.79|0,0|;
57.5058~1|2,0|1.29,-1.97|0,0|;
58.0566~1|4,0|5,0|0,0|;
58.5796~1|1,0|0,3|0,0|;
58.8586~1|2,0|0,-3|0,0|;
59.4094~1|4,0|5,0|0,0|;
59.6465~1|1,0|1.55,2.16|0,0|;
59.9393~1|2,0|0.41,-1.89|0,0|;
60.5457~7|2,1|-0.79,-1.06|-0.09,2.71|;
60.7687~1|1,0|-1.32,3.52|0,0|;
61.0617~1|3,0|-5,0|0,0|;
61.3614~1|3,0|-6.13,0.78|0,0|;
61.6258~1|2,0|-0.56,-2.16|0,0|;
61.8491~1|1,0|0,3|0,0|;
62.1559~1|4,0|5,0|0,0|;
62.4068~1|4,0|5.9,0.95|0,0|;
62.9295~1|1,0|0.47,2.28|0,0|;
63.5264~1|3,0|-5,0|0,0|;
64.0564~1|2,0|-2.69,-2.53|0,0|;
64.3699~1|1,0|2.68,2.34|0,0|;
64.5926~1|4,0|4.29,0.71|0,0|;
65.0942~1|1,0|0.79,3.28|0,0|;
65.3797~1|2,0|-1.88,-2.56|0,0|;
65.6723~1|3,0|-5,0|0,0|;
65.9021~1|4,0|5,0|0,0|;
66.1876~1|1,0|0,3|0,0|;
66.7865~1|4,0|3.31,-1.26|0,0|;
67.3301~1|2,0|1.35,-2.81|0,0|;
67.8874~1|1,0|0,3|0,0|;
68.4587~1|3,0|-5,0|0,0|;
68.7024~1|3,0|-6.05,0.75|0,0|;
68.9879~1|2,0|0.73,-1.61|0,0|;
69.2380~1|2,0|-0.53,-2.45|0,0|;
69.4827~1|2,0|-1.82,-2.96|0,0|;
69.7542~1|1,0|0,3|0,0|;
70.0611~1|4,0|5,0|0,0|;
70.3050~1|4,0|6.3,0.78|0,0|;
70.5553~1|3,0|-5,0|0,0|;
70.8060~1|2,0|0,-3|0,0|;
71.0990~1|1,0|0,3|0,0|;
71.6703~1|3,0|-5,0|0,0|;
72.2483~1|1,0|-2.02,2.64|0,0|;
72.8066~1|1,0|1.28,2.52|0,0|;
73.0642~1|1,0|0.18,3.34|0,0|;
73.3357~1|1,0|-1.19,3.79|0,0|;
74.1370~1|2,0|-0.99,-2.12|0,0|;
74.4651~1|2,0|0.46,-2.58|0,0|;
74.6880~1|2,0|1.96,-2.78|0,0|;
74.9530~1|4,0|2.66,-0.15|0,0|;
75.2329~1|4,0|4.04,0.3|0,0|;
75.4903~1|4,0|5.25,1.42|0,0|;
75.7902~1|2,0|0.98,-1.78|0,0|;
76.0551~1|2,0|-0.29,-2.46|0,0|;
76.3131~1|2,0|-1.63,-2.88|0,0|;
76.5779~1|3,0|-3.8,-0.06|0,0|;
76.8289~1|3,0|-4.95,0.65|0,0|;
77.1281~1|3,0|-5.94,1.55|0,0|;
77.3936~1|4,0|6.19,0.82|0,0|;
77.6866~1|4,0|5,0|0,0|;
77.9441~1|4,0|3.21,-0.1|0,0|;
78.2579~1|2,0|0.89,-2.11|0,0|;
78.5090~1|1,0|-1.38,2.03|0,0|;
79.1355~1|3,0|-3.04,-1.29|0,0|;
79.4287~1|2,0|-1.45,-2.69|0,0|;
79.6656~1|2,0|-0.17,-3.2|0,0|;
79.7778~1|1,0|0,3|0,0|;
79.9030~1|4,0|5,0|0,0|;
81.2624~1|3,0|-5,0|0,0|;
81.5342~1|2,0|-2.82,-1.28|0,0|;
81.7713~1|1,0|-1,1.87|0,0|;
82.1056~1|4,0|1.79,0.43|0,0|;
82.8733~6|4,3|3.98,0.25|-4.12,0.07|;
83.4097~7|2,1|0,-3|-0.19,3.03|;
84.2739~2|3,1|-5,0|-0.62,2.71|;
84.5042~1|4,0|5,0|0,0|;
84.7409~1|1,0|2.15,1.94|0,0|;
85.0689~1|2,0|0,-3|0,0|;
85.3060~1|3,0|-2.31,-2.11|0,0|;
85.5988~1|4,0|5,0|0,0|;
85.8492~1|4,0|5.39,0.82|0,0|;
86.1279~1|4,0|5.75,2.02|0,0|;
86.4414~1|4,0|4.97,3.13|0,0|;
86.7068~1|3,0|-5,0|0,0|;
87.0065~1|3,0|-5.62,1.19|0,0|;
87.2778~1|3,0|-5.17,2.44|0,0|;
87.5220~1|4,0|5,0|0,0|;
87.8012~1|4,0|5.51,1.08|0,0|;
88.0732~1|4,0|5.05,2.41|0,0|;
88.3591~1|4,0|4.08,3.35|0,0|;
88.6378~1|3,0|-5,0|0,0|;
88.9170~1|3,0|-5.4,1.28|0,0|;
89.1671~1|3,0|-5.41,2.53|0,0|;
89.4529~1|3,0|-4.8,3.72|0,0|;
89.6901~1|2,0|-0.32,-2.74|0,0|;
89.9899~1|2,0|-1.43,-2.02|0,0|;
90.2475~1|1,0|-2.6,1.94|0,0|;
90.5197~1|4,0|1.01,2.46|0,0|;
90.7985~1|4,0|2.31,1.99|0,0|;
91.0425~1|4,0|3.45,1.29|0,0|;
91.3074~1|2,0|3.01,-1.81|0,0|;
91.6003~1|3,0|-2.74,-0.96|0,0|;
91.9140~1|3,0|-3.91,-0.38|0,0|;
92.1859~1|1,0|-0.54,3.15|0,0|;
92.4578~1|1,0|0.87,2.61|0,0|;
92.5903~1|4,0|3.34,0.83|0,0|;
92.6948~1|4,0|4.6,0.22|0,0|;
92.8343~1|2,0|-0.62,-2.42|0,0|;
92.9459~1|2,0|-2.04,-2.51|0,0|;
93.5280~1|1,0|0,3|0,0|;
94.0591~1|3,0|-5,0|0,0|;
94.6076~1|2,0|-2.23,-1.44|0,0|;
94.8731~1|2,0|-0.85,-1.81|0,0|;
95.1583~6|4,3|5,0|-4.13,0.94|;
95.9254~1|3,0|-4.38,0.1|0,0|;
96.2250~1|3,0|-3.25,-0.94|0,0|;
96.4410~1|3,0|-2.05,-1.47|0,0|;
96.7690~1|4,0|5,0|0,0|;
97.0480~1|4,0|5.67,0.97|0,0|;
97.3128~1|1,0|0,3|0,0|;
97.5703~1|3,0|-3.13,1.09|0,0|;
97.8010~4|2,3|0,-3|-2.44,-0.63|;
98.3027~1|1,0|0,3|0,0|;
98.5469~1|4,0|5,0|0,0|;
98.7907~1|4,0|5.37,1.53|0,0|;
99.0488~1|4,0|4.57,2.61|0,0|;
99.3067~1|2,0|0,-3|0,0|;
99.5788~1|2,0|-1.28,-2.19|0,0|;
99.8012~1|2,0|-2.51,-1.27|0,0|;
100.3099~1|1,0|-1.44,3.25|0,0|;
100.5966~1|1,0|0,3|0,0|;
100.8474~1|4,0|5,0|0,0|;
101.1607~1|4,0|3.46,-0.55|0,0|;
101.4054~1|1,0|0,3|0,0|;
101.9282~1|3,0|-5,0|0,0|;
102.1575~1|2,0|-1.12,-2.53|0,0|;
102.4231~1|2,0|0.24,-2.98|0,0|;
102.7085~1|4,0|5,0|0,0|;
102.9737~1|4,0|4.14,-1.06|0,0|;
103.2175~1|1,0|0,3|0,0|;
103.4688~1|1,0|-1.39,3.06|0,0|;
103.7473~1|3,0|-4.14,0.48|0,0|;
103.9915~1|3,0|-5.51,0.16|0,0|;
104.2563~1|3,0|-6.73,0.73|0,0|;
104.7651~1|4,0|5.53,1.29|0,0|;
105.0021~1|2,0|2.65,-1.02|0,0|;
105.3227~1|2,0|1.42,-1.91|0,0|;
105.4344~1|1,0|0,3|0,0|;
105.6090~1|1,0|-1.36,2.74|0,0|;
105.8319~1|3,0|-5,0|0,0|;
106.0408~1|3,0|-6.32,-0.59|0,0|;
106.3059~1|2,0|0,-3|0,0|;
106.5984~1|1,0|0,3|0,0|;
107.3793~1|4,0|5,0|0,0|;
107.5188~1|4,0|4.14,-0.94|0,0|;
107.6511~1|2,0|0,-3|0,0|;
107.8881~1|3,0|-4.11,-0.79|0,0|;
108.1183~1|3,0|-5,0|0,0|;
108.3975~1|3,0|-5.97,0.76|0,0|;
108.6342~1|3,0|-6.44,2.02|0,0|;
109.4289~1|4,0|5,0|0,0|;
109.5336~1|4,0|5.12,1.36|0,0|;
109.6380~1|2,0|0,-3|0,0|;
109.9239~1|1,0|0,3|0,0|;
110.0561~1|3,0|-5,0|0,0|;
110.4531~1|4,0|5,0|0,0|;
110.6768~1|2,0|2.81,-1.83|0,0|;
110.9695~1|1,0|1.98,2.09|0,0|;
111.1920~1|1,0|0.75,2.7|0,0|;
111.3889~1|1,0|-0.05,3.13|0,0|;
111.6582~1|1,0|-1.4,3.55|0,0|;
112.0154~1|3,0|-3.46,2.81|0,0|;
112.2656~1|3,0|-4.43,1.86|0,0|;
112.5382~1|3,0|-5.37,0.75|0,0|;
112.7890~7|2,1|-2.62,-1.68|-0.59,2.64|;
113.0330~1|4,0|4.32,-0.57|0,0|;
113.2770~1|4,0|5.27,0.77|0,0|;
113.5977~1|1,0|0.47,0.57|0,0|;
113.8488~7|2,1|0,-3|-1.73,2.25|;
114.8732~5|2,4|-0.31,-2.89|3.42,-0.06|;
115.1847~1|1,0|0,3|0,0|;
115.4352~1|4,0|5,0|0,0|;
115.7426~1|4,0|5.43,1.65|0,0|;
116.0491~1|2,0|0,-3|0,0|;
116.5860~1|1,0|0.24,2.22|0,0|;
117.1569~1|1,0|0,3|0,0|;
117.7152~1|4,0|5,0|0,0|;
117.9247~1|4,0|5.19,1.21|0,0|;
118.2168~1|4,0|4.48,2.3|0,0|;
118.7332~1|4,0|3.54,3.08|0,0|;
119.0259~1|2,0|0,-3|0,0|;
119.2909~1|3,0|-5,0|0,0|;
119.5550~1|3,0|-5.49,1.27|0,0|;
119.8412~7|1,2|0,3.05|-0.22,-1.35|;
120.3993~1|4,0|3.52,0.67|0,0|;
120.9428~1|4,0|4.91,1.02|0,0|;
121.5213~1|4,0|5,0|0,0|;
122.0650~1|3,0|-5,0|0,0|;
122.3296~1|2,0|-2.18,-2.65|0,0|;
122.5813~1|2,0|-0.87,-3|0,0|;
122.8459~1|4,0|5,0|0,0|;
123.1115~1|4,0|5.24,1.53|0,0|;
123.3688~1|2,0|0,-3|0,0|;
123.6406~1|1,0|0,3|0,0|;
123.8910~1|4,0|4.92,2.78|0,0|;
124.2468~1|2,0|0,-3|0,0|;
124.5051~1|4,0|5,0|0,0|;
124.7698~1|1,0|0,3|0,0|;
125.3201~1|2,0|-0.03,-1.45|0,0|;
125.8504~1|2,0|-1.27,-1.81|0,0|;
126.3732~1|2,0|-1.93,-2.62|0,0|;
126.6800~1|1,0|0,3|0,0|;
126.9310~6|4,3|5,0|-3.39,0.1|;
127.7816~1|1,0|0,3|0,0|;
128.0466~1|1,0|-1.29,2.62|0,0|;
128.3114~1|1,0|-2.49,1.89|0,0|;
128.5903~1|1,0|-3.65,1.05|0,0|;
128.8413~1|3,0|-5,0|0,0|;
129.1056~1|4,0|5,0|0,0|;
129.3852~1|4,0|4.05,0.93|0,0|;
129.6499~1|4,0|2.93,1.68|0,0|;
129.8940~1|3,0|-2.19,0.57|0,0|;
130.1864~1|4,0|1.82,2.69|0,0|;
130.4589~1|3,0|-1.1,2.44|0,0|;
130.7168~1|2,0|0,-3|0,0|;
131.0232~1|1,0|0.86,2.74|0,0|;
131.2807~1|4,0|5,0|0,0|;
131.5603~1|4,0|4,-1.2|0,0|;
131.8527~1|2,0|0,-3|0,0|;
132.1388~1|2,0|-1.34,-3.26|0,0|;
132.4245~1|2,0|-2.61,-3.67|0,0|;
132.6614~1|4,0|5,0|0,0|;
132.9263~1|2,0|-3.46,-2.4|0,0|;
133.2464~1|1,0|0,3|0,0|;
133.5118~1|1,0|-1.19,2.69|0,0|;
134.0483~1|1,0|-4.15,2.38|0,0|;
134.2988~1|1,0|-5.46,2.66|0,0|;
134.5574~1|4,0|5,0|0,0|;
134.8220~1|4,0|4.02,0.81|0,0|;
135.0730~1|4,0|2.92,1.67|0,0|;
135.6794~2|3,1|-5,0|-1.09,1.94|;
136.5232~5|2,4|0,-3|2.64,-0.3|;
137.0384~2|1,3|0,3|-3.17,0.78|;
137.8615~6|3,4|-4.65,-0.48|3.31,-0.33|;
138.1339~1|2,0|-1.01,-2.74|0,0|;
138.3986~1|2,0|0.7,-3.41|0,0|;
138.6421~1|1,0|0,3|0,0|;
138.9838~1|4,0|2.39,1.28|0,0|;
139.2343~1|4,0|3.5,0.47|0,0|;
139.4927~1|4,0|4.07,-0.75|0,0|;
139.7786~1|2,0|0,-3|0,0|;
139.9808~1|3,0|-5,0|0,0|;
140.3009~1|3,0|-5.73,1.2|0,0|;
140.5664~1|1,0|0,3|0,0|;
140.8526~1|1,0|1.19,2.34|0,0|;
141.1451~1|1,0|2.11,1.42|0,0|;
141.3892~1|4,0|4.44,0.41|0,0|;
141.6257~1|3,0|-5,0|0,0|;
141.9256~1|4,0|5.54,-0.26|0,0|;
142.2248~1|1,0|0,3|0,0|;
142.4831~1|1,0|-1.27,2.47|0,0|;
142.7621~1|3,0|-5,0|0,0|;
143.0340~1|3,0|-5.68,-1.06|0,0|;
143.6328~1|1,0|0,3|0,0|;
143.8629~1|1,0|1.1,2.06|0,0|;
144.1072~1|1,0|2.33,1.58|0,0|;
144.6580~1|4,0|5,0|0,0|;
144.9022~1|1,0|2.52,2.12|0,0|;
145.1670~1|1,0|1.2,2.48|0,0|;
145.6898~1|2,0|0.38,-3.11|0,0|;
145.9898~1|4,0|5,0|0,0|;
146.2263~1|4,0|3.81,0.81|0,0|;
146.4847~1|1,0|0,3|0,0|;
146.8261~1|1,0|-1.5,2.71|0,0|;
147.0844~1|3,0|-5,0|0,0|;
147.3840~1|2,0|-3.82,-1.42|0,0|;
147.6628~1|2,0|-2.09,-2.25|0,0|;
147.9345~1|2,0|0,-3|0,0|;
148.1921~1|4,0|2.32,-1.75|0,0|;
148.4996~1|4,0|2.96,-0.52|0,0|;
148.7432~7|1,2|0,3|-0.94,-1.31|;
149.0289~1|2,0|0,-3|0,0|;
149.2800~1|3,0|-5,0|0,0|;
149.5454~1|2,0|1.53,-2.81|0,0|;
149.8309~1|1,0|0,3|0,0|;
150.1374~1|2,0|0.12,-2.19|0,0|;
150.3743~1|2,0|-1.48,-2.87|0,0|;
150.6461~1|2,0|-2.85,-2.44|0,0|;
150.9325~1|4,0|5,0|0,0|;
151.1824~1|4,0|5.7,0.94|0,0|;
151.4266~1|4,0|6.64,-0.25|0,0|;
151.7192~1|4,0|5.49,-1.5|0,0|;
152.0056~1|3,0|-5,0|0,0|;
152.3534~1|3,0|-3.91,-0.92|0,0|;
152.6259~1|3,0|-5.32,-1.57|0,0|;
152.8490~1|4,0|5,0|0,0|;
153.1345~1|3,0|-6.52,-0.45|0,0|;
154.1622~1|1,0|-2.9,2.64|0,0|;
154.4405~1|3,0|-5,0|0,0|;
154.7759~1|2,0|-0.92,-2.11|0,0|;
154.9844~1|4,0|1.66,0.73|0,0|;
155.2559~1|1,0|-1.16,2.65|0,0|;
155.7932~1|1,0|-2.52,2.43|0,0|;
156.3859~1|1,0|-3.72,1.73|0,0|;
156.9364~1|1,0|-4.73,0.91|0,0|;
157.1941~1|2,0|-4.19,-2.46|0,0|;
157.4733~1|4,0|2.77,-0.63|0,0|;
158.0380~1|4,0|3.39,0.37|0,0|;
158.3163~1|4,0|3.94,1.67|0,0|;
158.5679~1|4,0|5,0|0,0|;
158.8392~1|4,0|6.19,1.25|0,0|;
159.1113~1|2,0|0,-3|0,0|;
159.3275~1|2,0|1.25,-2.9|0,0|;
159.6551~1|3,0|-5,0|0,0|;
160.2055~1|3,0|-6.29,0.19|0,0|;
160.7985~1|1,0|0,3|0,0|;
161.3213~1|2,0|0,-3|0,0|;
161.8860~1|4,0|5,0|0,0|;
162.1787~1|4,0|4.07,1.22|0,0|;
162.3807~1|1,0|0,3|0,0|;
162.6732~1|1,0|-1.42,2.97|0,0|;
162.8967~6|3,4|-5,0.05|3.27,0.11|;
163.1615~1|2,0|-2.86,-1.79|0,0|;
163.4331~1|2,0|-1.37,-2.17|0,0|;
163.7054~1|2,0|-0.02,-2.42|0,0|;
163.9910~1|4,0|5,0|0,0|;
164.5212~1|1,0|0,3|0,0|;
165.1062~1|3,0|-5,0|0,0|;
165.3925~1|3,0|-3.92,-0.59|0,0|;
165.5735~1|3,0|-2.62,-0.02|0,0|;
165.9429~1|4,0|5,0|0,0|;
166.2143~1|4,0|5.72,0.98|0,0|;
167.0445~1|4,0|6.74,-0.26|0,0|;
167.2878~1|4,0|5.71,-1.31|0,0|;
167.5677~1|1,0|0,3|0,0|;
167.8463~1|1,0|-1.39,3.33|0,0|;
168.0696~1|1,0|-2.69,2.94|0,0|;
168.3406~3|4,1|5,0|0.71,2.34|;
169.8958~3|4,1|5,0|1.31,2.21|;
170.4459~2|3,1|-5,0|-1.13,1.53|;
170.8853~1|2,0|-0.43,-1.63|0,0|;
171.0178~1|2,0|0,-3|0,0|;
171.9380~1|2,0|0,-3|0,0|;
172.5307~1|1,0|-0.09,2.38|0,0|;
172.7677~1|1,0|-1.44,2.59|0,0|;
173.3043~1|3,0|-3.8,-0.51|0,0|;
173.6458~1|3,0|-5,0|0,0|;
173.8619~1|4,0|5,0|0,0|;
174.1616~1|4,0|5.54,1.08|0,0|;
174.4060~1|2,0|0,-3|0,0|;
174.6778~1|1,0|0,3|0,0|;
174.9426~1|1,0|-1.31,2.81|0,0|;
175.4935~1|3,0|-5,0|0,0|;
175.7655~1|4,0|5,0|0,0|;
176.0448~1|2,0|0,-3|0,0|;
176.3430~1|2,0|1.43,-2.7|0,0|;
176.5736~1|1,0|0,3|0,0|;
176.8664~1|4,0|5,0|0,0|;
177.1105~1|4,0|4.46,1.74|0,0|;
177.4098~1|1,0|1.96,2.02|0,0|;
177.7168~1|3,0|-5,0|0,0|;
177.9607~1|3,0|-5.8,1.28|0,0|;
178.2602~1|2,0|0,-3|0,0|;
178.5249~1|3,0|-6.2,2.63|0,0|;
178.8042~1|1,0|0,3|0,0|;
179.0761~1|1,0|-1.28,3.08|0,0|;
179.3128~1|4,0|5,0|0,0|;
179.5991~1|4,0|5.57,1|0,0|;
179.8292~1|4,0|5.9,2.41|0,0|;
180.0871~1|1,0|0,3|0,0|;
180.3940~1|1,0|-1.38,2.6|0,0|;
180.6796~1|1,0|-2.81,2.13|0,0|;
180.9026~1|1,0|-4.06,1.66|0,0|;
181.1322~1|3,0|-5,0|0,0|;
181.4318~1|3,0|-4.17,-1.26|0,0|;
181.7181~1|2,0|0,-3|0,0|;
182.0041~1|4,0|5,0|0,0|;
182.2967~1|4,0|4.2,1.15|0,0|;
182.5756~1|1,0|0,3|0,0|;
182.8337~1|1,0|-1.46,2.82|0,0|;
183.1050~1|3,0|-5,0|0,0|;
183.3771~1|3,0|-4.14,-1|0,0|;
183.6975~1|3,0|-2.91,-1.7|0,0|;
183.9204~1|2,0|0,-3|0,0|;
184.2061~1|4,0|5,0|0,0|;
184.4647~1|1,0|1.81,2.57|0,0|;
184.7637~1|1,0|0.38,2.84|0,0|;
185.0009~1|3,0|-5,0|0,0|;
185.3212~1|3,0|-4.16,-1.05|0,0|;
185.5862~1|1,0|0,3|0,0|;
185.8862~1|2,0|0,-3|0,0|;
186.1303~1|4,0|4.14,-1.06|0,0|;
186.4234~1|4,0|5,0|0,0|;
186.7159~1|4,0|5.1,1.24|0,0|;
186.9734~1|2,0|0,-3|0,0|;
187.2453~1|3,0|-5,0|0,0|;
187.5385~1|3,0|-6.19,0.93|0,0|;
187.7964~1|1,0|0,3|0,0|;
188.0823~1|1,0|-1.33,2.81|0,0|;
188.3607~1|2,0|0,-3|0,0|;
188.6119~1|1,0|-2.64,2.23|0,0|;
188.9115~1|2,0|-1.67,-2.61|0,0|;
189.1766~1|4,0|5,0|0,0|;
189.3994~1|1,0|0,3|0,0|;
189.7198~1|2,0|0,-3|0,0|;
189.9574~1|3,0|-5,0|0,0|;
190.2564~1|3,0|-5.8,1|0,0|;
190.5221~6|4,3|4.05,0.96|-6.34,2.33|;
190.7801~1|4,0|5,0|0,0|;
191.0239~1|1,0|-1.46,3.14|0,0|;
191.3162~1|1,0|0,3|0,0|;
191.5746~1|1,0|-2.86,3.02|0,0|;
191.8327~1|2,0|0,-3|0,0|;
192.0975~1|3,0|-5,0|0,0|;
192.4045~1|3,0|-5.69,1.21|0,0|;
193.4081~3|4,1|5,0|0.14,2.72|;
194.5162~7|1,2|0,3|-0.14,-1.77|;
194.9273~3|1,4|1.85,2.95|4.68,0.39|;
195.0875~1|4,0|3.74,-1.13|0,0|;
195.7701~1|4,0|5,0|0,0|;
195.9375~1|4,0|3.92,-0.83|0,0|;
196.0979~1|4,0|2.52,-1.68|0,0|;
196.2720~1|2,0|0,-3|0,0|;
196.4053~1|1,0|0,3|0,0|;
196.5862~1|3,0|-5,0|0,0|;
