Song Name=Virtual Riot - Dragons$

// POSITION X :  -7  to   7
// POSITION Y : 3.2 to -3.2
//            1           2          3           4           5            6         7
// CHAIN: singleNote, upperLeft, upperRight, bottomLeft, bottomRight, leftRight, upDown
//            1    2     3      4
// DIRECTION: up, down, left, right
// 
// FORMAT: time~chain|direction,direction2|positionX,positionY|position2X,position2Y|
*
61.0610~1|2,0|0,-3|0,0|;
61.3953~1|1,0|0,3|0,0|;
61.5001~1|1,0|0,3|0,0|;
61.8207~1|4,0|5,0|0,0|;
62.0994~1|4,0|5,0|0,0|;
62.3435~1|1,0|0,3|0,0|;
62.5528~1|2,0|0,-3|0,0|;
62.7199~1|3,0|-5,0|0,0|;
63.1171~1|1,0|0,3|0,0|;
63.5563~1|2,0|0,-3|0,0|;
63.9606~1|4,0|5,0|0,0|;
64.4136~1|3,0|-5,0|0,0|;
64.8181~1|2,0|0,-3|0,0|;
65.2289~1|1,0|0,3|0,0|;
65.6124~1|4,0|5,0|0,0|;
66.0307~1|2,0|0,-3|0,0|;
66.4279~1|1,0|0,3|0,0|;
66.8465~1|3,0|-5,0|0,0|;
67.4598~1|2,0|0,-3|0,0|;
67.7734~1|1,0|0,3|0,0|;
67.9758~1|4,0|5,0|0,0|;
68.2128~1|4,0|5,0|0,0|;
68.3796~1|1,0|0,3|0,0|;
68.5816~1|2,0|0,-3|0,0|;
68.7641~1|2,0|0,-3|0,0|;
69.0079~1|1,0|0,3|0,0|;
69.1333~1|3,0|-5,0|0,0|;
69.2798~1|3,0|-5,0|0,0|;
69.3768~1|2,0|0,-3|0,0|;
69.5029~1|2,0|0,-3|0,0|;
69.6282~1|1,0|0,3|0,0|;
69.7537~1|1,0|0,3|0,0|;
69.8581~1|4,0|5,0|0,0|;
69.9906~1|4,0|5,0|0,0|;
70.1230~1|2,0|0,-3|0,0|;
70.3253~1|1,0|0,3|0,0|;
70.3953~1|1,0|0,3|0,0|;
70.5484~1|1,0|0,3|0,0|;
70.6669~1|1,0|0,3|0,0|;
70.7784~1|1,0|0,3|0,0|;
70.8831~1|1,0|0,3|0,0|;
70.9877~1|1,0|0,3|0,0|;
71.1201~1|4,0|5,0|0,0|;
71.2663~1|4,0|5,0|0,0|;
71.3919~1|4,0|5,0|0,0|;
71.5105~1|4,0|5,0|0,0|;
71.6224~1|4,0|5,0|0,0|;
71.7405~1|4,0|5,0|0,0|;
71.8591~1|4,0|5,0|0,0|;
72.0402~1|2,0|0,-3|0,0|;
72.1170~1|2,0|0,-3|0,0|;
72.2495~1|2,0|0,-3|0,0|;
72.3539~1|2,0|0,-3|0,0|;
72.4795~1|2,0|0,-3|0,0|;
72.5835~1|2,0|0,-3|0,0|;
72.7094~1|2,0|0,-3|0,0|;
72.8489~1|3,0|-5,0|0,0|;
72.9884~1|3,0|-5,0|0,0|;
73.0999~1|3,0|-5,0|0,0|;
73.2182~1|3,0|-5,0|0,0|;
73.3158~1|3,0|-5,0|0,0|;
73.4274~1|3,0|-5,0|0,0|;
73.5806~1|2,0|0,-3|0,0|;
73.7341~1|2,0|0,-3|0,0|;
73.8318~1|1,0|0,3|0,0|;
73.9572~1|1,0|0,3|0,0|;
74.0756~1|4,0|5,0|0,0|;
74.1871~1|4,0|5,0|0,0|;
74.3057~1|2,0|0,-3|0,0|;
74.4175~1|2,0|0,-3|0,0|;
74.5706~1|1,0|0,3|0,0|;
74.7030~1|1,0|0,3|0,0|;
74.8284~1|1,0|0,3|0,0|;
74.9541~1|1,0|0,3|0,0|;
75.1421~1|3,0|-5,0|0,0|;
75.2674~1|3,0|-5,0|0,0|;
75.3441~1|2,0|0,-3|0,0|;
75.4767~1|2,0|0,-3|0,0|;
76.2993~1|1,0|0,3|0,0|;
76.4525~1|1,0|0,3|0,0|;
76.5850~1|4,0|5,0|0,0|;
76.7312~1|4,0|5,0|0,0|;
77.0449~1|2,0|0,-3|0,0|;
77.2053~1|1,0|0,3|0,0|;
77.3517~1|3,0|-5,0|0,0|;
77.4842~1|3,0|-5,0|0,0|;
77.6376~1|2,0|0,-3|0,0|;
77.9306~1|2,0|0,-3|0,0|;
78.0696~1|1,0|0,3|0,0|;
78.1882~1|4,0|5,0|0,0|;
78.3206~1|4,0|5,0|0,0|;
78.4672~1|2,0|0,-3|0,0|;
78.7600~1|2,0|0,-3|0,0|;
78.8993~1|1,0|0,3|0,0|;
79.0173~1|3,0|-5,0|0,0|;
79.1432~1|3,0|-5,0|0,0|;
79.2899~1|2,0|0,-3|0,0|;
79.4223~1|2,0|0,-3|0,0|;
79.5546~1|1,0|0,3|0,0|;
79.7149~1|1,0|0,3|0,0|;
79.8474~1|4,0|5,0|0,0|;
79.9796~1|3,0|-5,0|0,0|;
80.1119~1|2,0|0,-3|0,0|;
80.2379~1|2,0|0,-3|0,0|;
80.4538~1|1,0|0,3|0,0|;
80.6139~1|1,0|0,3|0,0|;
81.4714~1|3,0|-5,0|0,0|;
81.5482~1|3,0|-5,0|0,0|;
81.7152~1|1,0|0,3|0,0|;
81.8478~1|2,0|0,-3|0,0|;
81.9802~1|4,0|5,0|0,0|;
82.1336~1|4,0|5,0|0,0|;
82.3009~1|2,0|0,-3|0,0|;
82.7120~1|1,0|0,3|0,0|;
83.1023~1|3,0|-5,0|0,0|;
83.2349~1|2,0|0,-3|0,0|;
83.3321~1|1,0|0,3|0,0|;
83.4580~1|4,0|5,0|0,0|;
83.5698~1|4,0|5,0|0,0|;
83.7438~1|2,0|0,-3|0,0|;
83.8693~1|2,0|0,-3|0,0|;
84.0019~1|1,0|0,3|0,0|;
84.1481~1|1,0|0,3|0,0|;
84.2804~1|3,0|-5,0|0,0|;
84.4201~1|3,0|-5,0|0,0|;
84.5523~1|2,0|0,-3|0,0|;
84.6918~1|2,0|0,-3|0,0|;
84.8315~1|1,0|0,3|0,0|;
84.9568~1|1,0|0,3|0,0|;
85.0961~1|4,0|5,0|0,0|;
85.2216~1|3,0|-5,0|0,0|;
85.3540~1|2,0|0,-3|0,0|;
85.4865~1|2,0|0,-3|0,0|;
85.6050~1|2,0|0,-3|0,0|;
85.7653~1|4,0|5,0|0,0|;
85.8767~1|4,0|5,0|0,0|;
86.0301~1|2,0|0,-3|0,0|;
86.1835~1|1,0|0,3|0,0|;
86.3297~1|2,0|0,-3|0,0|;
86.4902~1|3,0|-5,0|0,0|;
86.6366~1|1,0|0,3|0,0|;
86.7760~1|2,0|0,-3|0,0|;
86.8944~1|3,0|-5,0|0,0|;
87.0059~1|1,0|0,3|0,0|;
87.1384~1|2,0|0,-3|0,0|;
87.2850~1|4,0|5,0|0,0|;
87.4313~1|4,0|5,0|0,0|;
87.5358~1|2,0|0,-3|0,0|;
87.6821~1|2,0|0,-3|0,0|;
87.8216~1|1,0|0,3|0,0|;
87.9541~1|3,0|-5,0|0,0|;
88.0586~1|3,0|-5,0|0,0|;
88.2196~1|2,0|0,-3|0,0|;
88.3655~1|2,0|0,-3|0,0|;
88.4770~1|1,0|0,3|0,0|;
88.6157~1|4,0|5,0|0,0|;
88.7487~1|4,0|5,0|0,0|;
88.8670~1|1,0|0,3|0,0|;
89.0205~1|2,0|0,-3|0,0|;
89.1880~1|3,0|-5,0|0,0|;
90.0242~1|2,0|0,-3|0,0|;
90.1499~1|1,0|0,3|0,0|;
90.3101~1|4,0|5,0|0,0|;
90.4425~1|4,0|5,0|0,0|;
90.7978~1|1,0|0,3|0,0|;
90.9374~1|2,0|0,-3|0,0|;
91.0699~1|3,0|-5,0|0,0|;
91.2510~1|3,0|-5,0|0,0|;
91.3695~1|2,0|0,-3|0,0|;
91.6624~1|1,0|0,3|0,0|;
91.7739~1|4,0|5,0|0,0|;
91.9063~1|4,0|5,0|0,0|;
92.0875~1|1,0|0,3|0,0|;
92.2130~1|2,0|0,-3|0,0|;
92.4920~1|3,0|-5,0|0,0|;
92.6176~1|3,0|-5,0|0,0|;
92.7567~1|2,0|0,-3|0,0|;
92.9025~1|1,0|0,3|0,0|;
93.0496~1|4,0|5,0|0,0|;
93.1816~1|4,0|5,0|0,0|;
93.3491~1|1,0|0,3|0,0|;
93.4676~1|2,0|0,-3|0,0|;
93.6280~1|3,0|-5,0|0,0|;
93.7818~1|3,0|-5,0|0,0|;
93.9418~1|2,0|0,-3|0,0|;
94.0949~1|1,0|0,3|0,0|;
94.2206~1|4,0|5,0|0,0|;
94.3807~1|4,0|5,0|0,0|;
95.9699~1|1,0|0,3|0,0|;
98.5486~1|2,0|0,-3|0,0|;
100.1800~1|3,0|-5,0|0,0|;
101.8666~1|1,0|0,3|0,0|;
103.5260~1|4,0|5,0|0,0|;
105.2054~1|2,0|0,-3|0,0|;
107.0179~1|1,0|0,3|0,0|;
108.7813~1|3,0|-5,0|0,0|;
109.5060~1|1,0|0,3|0,0|;
109.6317~1|4,0|5,0|0,0|;
110.1123~1|2,0|0,-3|0,0|;
110.5308~1|1,0|0,3|0,0|;
110.9698~1|3,0|-5,0|0,0|;
111.4021~1|2,0|0,-3|0,0|;
111.5973~1|2,0|0,-3|0,0|;
111.8414~1|1,0|0,3|0,0|;
112.0713~1|1,0|0,3|0,0|;
112.3291~1|4,0|5,0|0,0|;
112.7194~1|4,0|5,0|0,0|;
112.8379~1|2,0|0,-3|0,0|;
112.9565~1|2,0|0,-3|0,0|;
113.0958~1|1,0|0,3|0,0|;
113.2421~1|1,0|0,3|0,0|;
113.6046~1|3,0|-5,0|0,0|;
114.0366~1|3,0|-5,0|0,0|;
114.4481~1|1,0|0,3|0,0|;
114.8803~1|2,0|0,-3|0,0|;
115.1106~1|4,0|5,0|0,0|;
115.7379~1|2,0|0,-3|0,0|;
116.1492~1|1,0|0,3|0,0|;
116.5461~1|3,0|-5,0|0,0|;
116.9783~1|2,0|0,-3|0,0|;
117.4108~1|1,0|0,3|0,0|;
117.8776~1|4,0|5,0|0,0|;
118.2818~1|4,0|5,0|0,0|;
118.7280~1|1,0|0,3|0,0|;
118.9510~1|2,0|0,-3|0,0|;
119.1116~1|2,0|0,-3|0,0|;
119.2787~1|1,0|0,3|0,0|;
119.8293~1|1,0|0,3|0,0|;
120.0593~1|3,0|-5,0|0,0|;
120.2616~1|4,0|5,0|0,0|;
120.4845~1|1,0|0,3|0,0|;
120.6930~1|2,0|0,-3|0,0|;
120.8608~1|4,0|5,0|0,0|;
121.2025~1|1,0|0,3|0,0|;
121.3348~1|2,0|0,-3|0,0|;
121.5301~1|3,0|-5,0|0,0|;
121.6765~1|1,0|0,3|0,0|;
121.7600~1|2,0|0,-3|0,0|;
121.9971~1|3,0|-5,0|0,0|;
122.1297~1|1,0|0,3|0,0|;
122.3874~1|2,0|0,-3|0,0|;
122.5687~1|4,0|5,0|0,0|;
122.8050~1|4,0|5,0|0,0|;
123.0216~1|2,0|0,-3|0,0|;
123.4187~1|1,0|0,3|0,0|;
123.7118~1|4,0|5,0|0,0|;
123.8853~1|3,0|-5,0|0,0|;
124.1367~1|3,0|-5,0|0,0|;
124.3667~1|4,0|5,0|0,0|;
124.5552~1|1,0|0,3|0,0|;
124.7852~1|2,0|0,-3|0,0|;
124.9733~1|2,0|0,-3|0,0|;
125.1963~1|1,0|0,3|0,0|;
125.3846~1|3,0|-5,0|0,0|;
125.5866~1|3,0|-5,0|0,0|;
125.8515~1|2,0|0,-3|0,0|;
126.0540~1|1,0|0,3|0,0|;
126.2557~1|4,0|5,0|0,0|;
126.4788~1|4,0|5,0|0,0|;
126.7089~1|1,0|0,3|0,0|;
126.8553~1|2,0|0,-3|0,0|;
127.1201~1|3,0|-5,0|0,0|;
127.3017~1|3,0|-5,0|0,0|;
127.5317~1|2,0|0,-3|0,0|;
127.7613~1|1,0|0,3|0,0|;
127.9357~1|1,0|0,3|0,0|;
128.1797~1|4,0|5,0|0,0|;
128.3471~1|3,0|-5,0|0,0|;
128.5908~1|2,0|0,-3|0,0|;
128.8000~1|2,0|0,-3|0,0|;
129.0229~1|1,0|0,3|0,0|;
129.2315~1|4,0|5,0|0,0|;
129.4204~1|3,0|-5,0|0,0|;
129.6364~1|2,0|0,-3|0,0|;
129.8664~1|1,0|0,3|0,0|;
129.9921~1|2,0|0,-3|0,0|;
130.2911~1|4,0|5,0|0,0|;
130.3961~1|3,0|-5,0|0,0|;
130.5982~1|2,0|0,-3|0,0|;
130.7376~1|2,0|0,-3|0,0|;
130.8636~1|2,0|0,-3|0,0|;
130.9467~1|1,0|0,3|0,0|;
131.0655~1|1,0|0,3|0,0|;
131.1976~1|4,0|5,0|0,0|;
131.2605~1|3,0|-5,0|0,0|;
131.3992~1|2,0|0,-3|0,0|;
131.4974~1|2,0|0,-3|0,0|;
131.5674~1|2,0|0,-3|0,0|;
131.8042~1|2,0|0,-3|0,0|;
132.0134~1|1,0|0,3|0,0|;
132.1460~1|1,0|0,3|0,0|;
132.1877~1|1,0|0,3|0,0|;
132.4036~1|1,0|0,3|0,0|;
132.4732~1|1,0|0,3|0,0|;
132.6267~1|1,0|0,3|0,0|;
132.6894~1|1,0|0,3|0,0|;
132.8219~1|1,0|0,3|0,0|;
132.9055~1|3,0|-5,0|0,0|;
133.0310~1|3,0|-5,0|0,0|;
133.1076~1|3,0|-5,0|0,0|;
133.2193~1|3,0|-5,0|0,0|;
133.2748~1|3,0|-5,0|0,0|;
133.3865~1|3,0|-5,0|0,0|;
133.4424~1|3,0|-5,0|0,0|;
133.5955~1|4,0|5,0|0,0|;
133.7420~1|4,0|5,0|0,0|;
135.0733~1|2,0|0,-3|0,0|;
#
